## name list
#
# Note: when no variable name available in this list fill the variable names with the
# variable name and empty units and empty comment
#
# The variables have to comply with CF conventions where applicable
# \href{https://cfconventions.org/Data/cf-standard-names/current/build/cf-standard-name-table.html|}
#
# FORMAT USED FOR NAMING VARIABLES
#	standard_variable_name		,		long_name		,		units		,		comments



# Main variables
"time"							,	"time"																			,	"s"						,	"glider time record seconds since 1970. Time is merged time between glider flight and science computers"
"pressure"					,	"sea_water_pressure"													,	"dbar"					,	"measured by glider CTD pressure sensor"
"depth"							,	"depth"																			,	"meter"					,	"vertical distance below sea surface calculated from CTD pressure sensor sci_water_pressure"
"longitude"					,	"longitude"																	,	"degree_east"		,	"glider platform longitude incorporating underwater positioning corrected for dead reckoninig errors associated with underwater currents and glider GPS surface positions"
"latitude"						,	"latitude"																		,	"degree_north"		,	"glider platform latitude incorporating underwater positioning corrected for dead reckoninig errors associated with underwater currents and glider GPS surface positions"
"profile_index"				,	"glider_dive_profile_index",											,	" "							,	"profile index computed from glider CTD depth to extract profiles for identifying valid profiles in the glider record, based on the SOCIB toolbox. The output has integers for valid profiles (dive or climb) and fractions denote in-between dive states or hovering states"
"profile_direction"			,	"glider_dive_profile_direction"										,	" "							,	"profile direction indicating dive (-1) or climb (+1)"
"northward_sea_water_velocity" , "northward_sea_water_velocity"					,	"m s-1"					,	"measured depth-average of sea water velocity pointing positive North, computed as an average over a glider dive segement between surfacing locations. The value comes from m_water_final_vy"
"eastward_sea_water_velocity" , "eastward_sea_water_velocity"						,	"m s-1"					,	"measured depth-average of sea water velocity pointing positive East, computed as an average over a glider dive segement between surfacing locations. The value comes from m_water_final_vx"
"conductivity"				,	"sea_water_electrical_conductivity"							,	"S m-1"				,	"ambient seawater conductivity measured by glider CTD sensor sci_water_cond"
"temperature"				,	"sea_water_temperature"											,	"degree_C"			,	"ambient seawater temperature measured by glider CTD sensor sci_water_temp"
"salinity"						,	"sea_water_practical_salinity"										,	"PSU"					,	"practical salinity computed from conductivity, temperature and pressure using the Gibbs-SeaWater (GSW) Oceanographic toolbox {https://www.teos-10.org/software.htm}"
"density"						,	"sea_water_density"													,	"kg m-3"				,	"in-situ seawater density calculated from salinity, temperature and pressure using the Gibbs-SeaWater (GSW) Oceanographic toolbox {https://www.teos-10.org/software.htm}"
"oxygen_sensor_temperature"	,	"temperature_of_sensor_for_oxygen_in_sea_water"	,	"degree_C"	, "temperature of oxygen sensor used to compute oxygen concentration duplicated from sci_oxy4_temperature"
"oxygen_concentration"				,	"mole_concentration_of_dissolved_molecular_oxygen_in_sea_water"	,	"micro-mol L",	"oxygen concentration measured by glider sensor from sci_oxy4_oxygen, compensated for salinity using code from Henry Bittig."


# GLIDER FLIGHT COMPUTER VARIABLES
"c_ballast_pumped"		,	"commanded_glider_ballast_pumped"						,	"cm3"						,	"-negative is subtraction / + addition"
"c_battpos"					,	"commanded_glider_pitch_battery_position"				,	"in"							,	"-negative is towards aft and +positive is towards nose"
"c_de_oil_volume"		,	"commanded_glider_oil_ballast_pumped"					,	"cm3"						,	"-negative is subtraction / + addition"
"c_fin"							,	"commanded_glider_rudder_angle"							,	"degree"					,	"-negative is port / + starboard"
"m_fin"							,	"measured_glider_roll"												,	"degree"					,	"-negative is port / + starboard"
"c_heading"					,	"commanded_glider_heading_angle"							,	"degree"					,	"-negative is port / + starboard"
"c_pitch"						,	"commanded_glider_pitch_angle"								,	"degree"					,	"-negative is nose down / + is up"
"c_wpt_lat"					,	"commanded_glider_target_waypoint_latitude"			,	"degree_north"			,	"decimal degrees North WGS84 (+90/-90)"
"c_wpt_lon"					,	"commanded_glider_target_waypoint_longitude"		,	"degree_east"			,	"decimal degrees East WGS84 (+180/-180)"
"m_ballast_pumped"	,	"measured_glider_ballast_pumped"							,	"cm3"						,	"-negative is subtraction / + addition"
"m_battpos"					,	"measured_glider_pitch_battery_position"					,	"in"							,	"-negative is towards aft and +positive is towards nose"
"m_de_oil_volume"		,	"measured_glider_oil_ballast_pumped"						,	"cm3"						,	"-negative is subtraction / + addition"
"m_fin"							,	"measured_glider_rudder_angle"								,	"degree"					,	"-negative is port / + starboard"
"m_heading"				,	"measured_glider_heading_angle"								,	"degree"					,	"-negative is port / + starboard"
"m_pitch"						,	"measured_glider_pitch_angle"									,	"degree"					,	"-negative is nose down / + is up"
"m_altitude"					,	"measured_glider_altitude_above_bottom"					,	"meter"						,	"   "
"m_battery"					,	"measured_glider_main_battery_voltage"					,	"volts"						,	"	"
"m_pressure"				,	"measured_glider_pressured_sensor_reading"			,	"bar"							,	"measured by glider aft-cap MICRON pressure transducer"
"m_depth"					,	"measured_glider_depth_readings"							,	"meter"						,	"depth is computed from m_pressure"
"m_water_depth"			,	"measured_glider_water_depth"									,	"meter"						,	"depth is computed from adding m_depth+m_altitude"
"m_gps_lat"					,	"measured_glider_gps_latitude"									,	"degree_north"			,	"decimal degrees North WGS84 (+90/-90), recorded by glider at surface"
"m_gps_lon"				,	"measured_glider_gps_longitude"								,	"degree_east"			,	"decimal degrees East WGS84 (+180/-180), recorded by glider at surface"
