dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-110-0-144
the8x3_filename: 00560144
filename_extension: tbd
filename_label: sunfish-2022-110-0-144-tbd(00560144)
mission_name: regm20.mi
fileopen_time: Sun_May_22_12:54:23_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-110-0-144
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
0.000483804 1.356 0.4161 1653224072.378 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1653224114 31.503 473.819 106.943 NaN NaN NaN 
NaN NaN NaN 1653224118 NaN NaN NaN 2.83467 0.02393 1.0501 
NaN NaN NaN 1653224179 NaN NaN NaN 2.83468 0.36316 1.0483 
NaN NaN NaN 1653224235 31.463 475.712 107.325 NaN NaN NaN 
NaN NaN NaN 1653224240 NaN NaN NaN 2.83328 1.28697 1.0261 
NaN NaN NaN 1653224301 NaN NaN NaN 2.8324 2.11467 1.0113 
NaN NaN NaN 1653224356 31.532 475.652 106.945 NaN NaN NaN 
NaN NaN NaN 1653224362 NaN NaN NaN 2.81492 2.94219 0.7843 
0.000458436 1.356 1.5111 1653224374 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1653224423 NaN NaN NaN 2.77834 3.84827 0.2831 
NaN NaN NaN 1653224477 32.52 458.012 100.298 NaN NaN NaN 
NaN NaN NaN 1653224484 NaN NaN NaN 2.74386 4.72129 -0.2074 
NaN NaN NaN 1653224545 NaN NaN NaN 2.74866 5.53544 -0.1882 
NaN NaN NaN 1653224598 33.628 426.941 92.402 NaN NaN NaN 
NaN NaN NaN 1653224606 NaN NaN NaN 2.70846 6.3341 -0.7477 
NaN NaN NaN 1653224667 NaN NaN NaN 2.701 7.09844 -0.9162 
0.000268176 1.356 0.3942 1653224675 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1653224719 34.831 394.825 84.51 NaN NaN NaN 
NaN NaN NaN 1653224728 NaN NaN NaN 2.71023 7.87708 -0.8509 
NaN NaN NaN 1653224789 NaN NaN NaN 2.84514 8.61655 0.5786 
NaN NaN NaN 1653224840 33.706 405.903 90.322 NaN NaN NaN 
NaN NaN NaN 1653224850 NaN NaN NaN 2.84688 9.38138 0.592 
