dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-110-0-148
the8x3_filename: 00560148
filename_extension: sbd
filename_label: sunfish-2022-110-0-148-sbd(00560148)
mission_name: regm20.mi
fileopen_time: Sun_May_22_21:52:59_2022
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-110-0-148
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0418576 -0.0345803 NaN NaN NaN NaN NaN NaN 1653256409.718 NaN NaN NaN NaN NaN NaN NaN NaN 
0 NaN 0 NaN NaN NaN NaN NaN NaN NaN 14.5418 -0.0198114 NaN NaN -0.00289484 NaN NaN NaN NaN NaN NaN NaN NaN 1653256425.025 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653256433.035 -0.0223648 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 4.32375 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653256485.133 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN 0.0773133 NaN NaN NaN NaN NaN NaN NaN NaN NaN 4.00204 NaN NaN -0.446804 1653256505.15 NaN NaN 0.0593412 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 13.2825 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653256543.167 1.32825 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653256603.179 NaN NaN 0.0558505 NaN NaN 0.0418576 -0.0345803 NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 23.974 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653256633.184 2.3974 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653256723.201 NaN NaN 0.0523599 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 39.1603 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653256753.207 3.91603 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.125039 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653256813.218 NaN NaN NaN NaN NaN NaN NaN NaN 
-0.349943 NaN -0.0464648 NaN NaN NaN NaN NaN NaN NaN 14.5594 -0.327314 NaN NaN -0.0665814 NaN NaN NaN NaN NaN NaN NaN NaN 1653256843.224 NaN NaN 0.0506145 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 53.5829 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653256873.23 5.35829 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 4.32327 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653256903.237 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4.19054 NaN NaN -0.315905 1653256933.243 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN -280 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -269.209 NaN NaN NaN NaN NaN NaN 5045.68228136165 -5058.45878990543 NaN 1653256963.249 NaN NaN 0.0558505 NaN 8.14708 NaN NaN 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 67.7437 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653256993.254 6.77437 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653257083.272 NaN NaN 0.0523599 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 81.4244 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653257113.277 8.14244 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.114324 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653257143.283 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653257203.294 NaN NaN 0.0575959 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 94.4724 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653257233.3 9.44724 NaN NaN NaN NaN NaN NaN NaN 
-0.349943 NaN 0.0224865 NaN NaN NaN NaN NaN NaN NaN 14.591 -0.327314 NaN NaN 0.0463175 NaN NaN NaN NaN NaN NaN NaN NaN 1653257263.306 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653257293.312 NaN NaN 0.0418879 NaN NaN NaN NaN NaN 
NaN NaN NaN 4.32364 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653257323.319 NaN NaN NaN NaN NaN NaN NaN NaN 
