dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-110-0-150
the8x3_filename: 00560150
filename_extension: tbd
filename_label: sunfish-2022-110-0-150-tbd(00560150)
mission_name: regm20.mi
fileopen_time: Mon_May_23_01:53:44_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-110-0-150
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1653270837.62 NaN NaN NaN 0 0 0 
NaN NaN NaN 1653270898.002 31.768 471.219 105.301 NaN NaN NaN 
NaN NaN NaN 1653270899.002 NaN NaN NaN 2.7958 0.04558 0.7058 
NaN NaN NaN 1653270960.002 NaN NaN NaN 2.79609 0.88293 0.7032 
NaN NaN NaN 1653271019.002 31.728 472.813 105.651 NaN NaN NaN 
NaN NaN NaN 1653271021.002 NaN NaN NaN 2.79567 1.70956 0.6907 
0.000458436 1.356 1.7812 1653271078.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1653271082.002 NaN NaN NaN 2.79828 2.51345 0.7176 
NaN NaN NaN 1653271140.002 31.862 473.654 105.004 NaN NaN NaN 
NaN NaN NaN 1653271143.002 NaN NaN NaN 2.72558 3.31008 -0.1447 
NaN NaN NaN 1653271204.002 NaN NaN NaN 2.74395 4.09334 -0.0049 
NaN NaN NaN 1653271261.002 32.756 451.918 98.613 NaN NaN NaN 
NaN NaN NaN 1653271265.002 NaN NaN NaN 2.71615 4.86846 -0.3493 
NaN NaN NaN 1653271326.002 NaN NaN NaN 2.70644 5.65986 -0.5312 
0.000518232 1.356 1.6936 1653271379.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1653271382.002 33.986 421.643 90.333 NaN NaN NaN 
NaN NaN NaN 1653271387.002 NaN NaN NaN 2.68401 6.46113 -0.866 
NaN NaN NaN 1653271448.002 NaN NaN NaN 2.67934 7.25244 -0.9757 
NaN NaN NaN 1653271503.002 34.634 403.398 86.025 NaN NaN NaN 
NaN NaN NaN 1653271509.002 NaN NaN NaN 2.67542 7.99695 -1.0524 
NaN NaN NaN 1653271570.002 NaN NaN NaN 2.71109 8.74381 -0.7898 
NaN NaN NaN 1653271624.002 34.779 393.335 84.614 NaN NaN NaN 
