Order	parameter name	long_name	cf_standard_name	unit	valid_min	valid_max	core/bio/intermediate	sdn_parameter_urn	sdn_uom_urn	Fillvalue	Data Type
1	CNDC	Electrical conductivity	sea_water_electrical_conductivity	mhos/m	0	8.5	c	SDN:P01::CNDCST01	SDN:P061::UECA	99999	float
2	PRES	Sea water pressure, equals 0 at sea-level	sea_water_pressure	decibar	0	12000	c	SDN:P01::PRESPR01	SDN:P061::UPDB	99999	float
3	PSAL	Practical salinity	sea_water_salinity	psu	2	41	c	SDN:P01::PSALST01	SDN:P061::UUUU	99999	float
4	TEMP	Sea temperature in-situ ITS-90 scale	sea_water_temperature	degree_Celsius	-2.5	40	c	SDN:P01::TEMPST01	SDN:P061::UPAA	99999	float
5	DOXY	Dissolved oxygen	moles_of_oxygen_per_unit_mass_in_sea_water	micromole/kg	-5	600	b	SDN:P01::DOXMZZXX	SDN:P061::KGUM	99999	float
6	TEMP_DOXY	Sea temperature from oxygen sensor ITS-90 scale	temperature_of_sensor_for_oxygen_in_sea_water	degree_Celsius	-2	40	i	SDN:P01::OXYTAAOP	SDN:P061::UPAA	99999	float
7	TEMP_VOLTAGE_DOXY	Thermistor voltage reported by oxygen sensor	-	volt	-	-	i	SDN:P01::TCNTOPTT	SDN:P061::UVLT	99999	float
8	VOLTAGE_DOXY	Voltage reported by oxygen sensor	-	volt	0	100	i	SDN:P01::OXYOCPVL	SDN:P061::UVLT	99999	float
9	FREQUENCY_DOXY	Frequency reported by oxygen sensor	-	hertz	0	25000	i	SDN:P01::OXYOCPFR	SDN:P061::UTHZ	99999	float
10	COUNT_DOXY	Count reported by oxygen sensor	-	count	-	-	i	SDN:P01::OXYOOPCT	SDN:P061::UUUU	99999	float
11	BPHASE_DOXY	Uncalibrated phase shift reported by oxygen sensor	-	degree	10	70	i	SDN:P01::OXYCPHAB	SDN:P061::UAAA	99999	float
12	DPHASE_DOXY	Calibrated phase shift reported by oxygen sensor	-	degree	10	70	i	SDN:P01::OXYCPHAB	SDN:P061::UAAA	99999	float
13	TPHASE_DOXY	Uncalibrated phase shift reported by oxygen sensor	-	degree	10	70	i	SDN:P01::OXYCPHAC	SDN:P061::UAAA	99999	float
14	C1PHASE_DOXY	Uncalibrated phase shift reported by oxygen sensor	-	degree	10	70	i	SDN:P01::OCYCPHAD	SDN:P061::UAAA	99999	float
15	C2PHASE_DOXY	Uncalibrated phase shift reported by oxygen sensor	-	degree	0	15	i	SDN:P01::OXYCPHAE	SDN:P061::UAAA	99999	float
16	MOLAR_DOXY	Uncompensated (pressure and salinity) oxygen concentration reported by the oxygen sensor	mole_concentration_of_dissolved_molecular_oxygen_in_sea_water	micromole/l	0	650	i	SDN:P01::DOXYMMOP	SDN:P061::MMPL	99999	float
17	PHASE_DELAY_DOXY	Phase delay reported by oxygen sensor	-	microsecond	0	99999	i	SDN:P01::OXYCPH01	SDN:P061::USEC	99999	float
18	MLPL_DOXY	Oxygen concentration reported by the oxygen sensor	-	ml/l	0	650	i	SDN:P01::DOXYZZXX	SDN:P061::UMLL	99999	float
19	NB_SAMPLE	Number of samples in bin	-	dimensionless	-	-	i	SDN:P01::NUMVALES	SDN:P061::UUUU	99999	float
20	RPHASE_DOXY	Uncalibrated red phase shift reported by oxygen sensor	-	degree	10	70	i	SDN:P01::OXYCPHAR	SDN:P061::UAAA	99999	float
21	TEMP_COUNT_DOXY	Count which is expressive of uncalibrated temperature value reported by oxygen sensor	-	count	-	-	i	-	SDN:P061::UUUU	99999	float
22	LED_FLASHING_COUNT_DOXY	Number of times oxygen sensor flashing to measure oxygen	-	count	-	-	i	-	SDN:P061::UUUU	99999.	double
23	PPOX_DOXY	Partial pressure of oxygen	-	millibar	-5	5000	i	-	SDN:P061::UPBB	99999	float
24	BETA_BACKSCATTERING	Total angle specific volume from backscattering sensor at x nanometers	-	count	-	-	i	-	SDN:P061::UUUU	99999	float
25	BETA_BACKSCATTERING470	Total angle specific volume from backscattering sensor at 470 nanometers	-	count	-	-	i	-	SDN:P061::UUUU	99999	float
26	BETA_BACKSCATTERING532	Total angle specific volume from backscattering sensor at 532 nanometers	-	count	-	-	i	-	SDN:P061::UUUU	99999	float
27	BETA_BACKSCATTERING700	Total angle specific volume from backscattering sensor at 700 nanometers	-	count	-	-	i	-	SDN:P061::UUUU	99999	float
28	FLUORESCENCE_CHLA	Chlorophyll-A signal from fluorescence sensor	-	count	-	-	i	-	SDN:P061::UUUU	99999	float
29	TEMP_CPU_CHLA	Thermistor signal from backscattering sensor	-	count	-	-	i	-	SDN:P061::UUUU	99999	float
30	FLUORESCENCE_CDOM	Raw fluorescence from coloured dissolved organic matter sensor	-	count	-	-	i	-	SDN:P061::UUUU	99999	float
31	SIDE_SCATTERING_TURBIDITY	Turbidity signal from side scattering sensor	-	count	-	-	i	-	SDN:P061::UUUU	99999	float
32	TRANSMITTANCE_PARTICLE_BEAM_ATTENUATION	Beam attenuation from transmissometer sensor at x nanometers	-	count	-	-	i	-	SDN:P061::UUUU	99999	float
33	TRANSMITTANCE_PARTICLE_BEAM_ATTENUATION660	Beam attenuation from transmissometer sensor at 660 nanometers	-	dimensionless	-	-	i	-	SDN:P061::UUUU	99999	float
34	BBP	Particle backscattering at x nanometers	-	m-1	-	-	b	-	SDN:P061::PMSR	99999	float
35	BBP470	Particle backscattering at 470 nanometers	-	m-1	-	-	b	-	SDN:P061::PMSR	99999	float
36	BBP532	Particle backscattering at 532 nanometers	-	m-1	-	-	b	-	SDN:P061::PMSR	99999	float
37	BBP700	Particle backscattering at 700 nanometers	-	m-1	-	-	b	-	SDN:P061::PMSR	99999	float
28	TURBIDITY	Sea water turbidity	sea_water_turbidity	ntu	-	-	b	-	SDN:P061::USTU	99999	float
29	CP	Particle beam attenuation at x nanometers	-	m-1	-	-	b	-	SDN:P061::UPRM	99999	float
40	CP660	Particle beam attenuation at 660 nanometers	-	m-1	-	-	b	-	SDN:P061::UPRM	99999	float
41	CHLA	Chlorophyll-A	mass_concentration_of_chlorophyll_a_in_sea_water	mg/m3	-	-	b	-	SDN:P061::UMMC	99999	float
42	CDOM	Concentration of coloured dissolved organic matter in sea water	-	ppb	-	-	b	-	SDN:P061::UPPB	99999	float
43	UV_INTENSITY_NITRATE	Intensity of ultra violet flux from nitrate sensor	-	count	-	-	i	-	SDN:P061::UUUU	99999	float
44	UV_INTENSITY_DARK_NITRATE	Intensity of ultra violet flux dark measurement from nitrate sensor	-	count	-	-	i	-	SDN:P061::UUUU	99999	float
45	UV_INTENSITY_DARK_SEAWATER_NITRATE	Intensity of ultra-violet flux dark sea water from nitrate sensor	-	count	-	-	i	-	SDN:P061::UUUU	99999	float
46	NITRATE	Nitrate	moles_of_nitrate_per_unit_mass_in_sea_water	micromole/kg	-	-	b	-	SDN:P061::KGUM	99999	float
47	BISULFIDE	Bisulfide	-	micromole/kg	-	-	b	-	SDN:P061::KGUM	99999	float
48	MOLAR_NITRATE	Nitrate	-	micromole/l	-	-	i	-	SDN:P06::UPOX	99999	float
49	FIT_ERROR_NITRATE	Nitrate fit error	-	dimensionless	-	-	i	-	SDN:P061::UUUU	99999	float
50	TEMP_NITRATE	Internal temperature of the SUNA sensor	-	degree_Celsius	-	-	i	-	-	99999	float
51	TEMP_SPECTROPHOTOMETER_NITRATE	Temperature of the spectrometer	-	degree_Celsius	-	-	i	-	-	99999	float
52	HUMIDITY_NITRATE	Relative humidity inside the SUNA sensor (If > 50% There is a leak)	-	percent	0	100	i	-	-	99999	float
53	VRS_PH	Voltage difference between reference and source from pH sensor	-	volt	-	-	i	-	-	99999	float
54	TEMP_PH	Sea temperature from pH sensor	-	degree_Celsius	-2	40	i	-	-	99999	float
55	IB_PH	Base current of pH sensor	-	nanoampere	-	-	i	-	-	99999	float
56	PH_IN_SITU_TOTAL	pH	sea_water_ph_reported_on_total_scale	dimensionless	-	-	b	-	-	99999	float
57	PH_IN_SITU_FREE	pH	-	dimensionless	-	-	i	-	-	99999	float
58	PH_IN_SITU_SEAWATER	pH	-	dimensionless	-	-	i	-	-	99999	float
59	RAW_DOWNWELLING_IRRADIANCE	Raw downwelling irradiance at x nanometers	-	count	-	-	i	-	-	99999.	double
60	RAW_DOWNWELLING_IRRADIANCE380	Raw downwelling irradiance at 380 nanometers	-	count	-	-	i	-	-	99999.	double
61	RAW_DOWNWELLING_IRRADIANCE412	Raw downwelling irradiance at 412 nanometers	-	count	-	-	i	-	-	99999.	double
62	RAW_DOWNWELLING_IRRADIANCE443	Raw downwelling irradiance at 443 nanometers	-	count	-	-	i	-	-	99999.	double
63	RAW_DOWNWELLING_IRRADIANCE490	Raw downwelling irradiance at 490 nanometers	-	count	-	-	i	-	-	99999.	double
64	RAW_DOWNWELLING_IRRADIANCE555	Raw downwelling irradiance at 555 nanometers	-	count	-	-	i	-	-	99999.	double
65	DOWN_IRRADIANCE	Downwelling irradiance at x nanometers	-	W/m^2/nm	-	-	b	-	-	99999	float
66	DOWN_IRRADIANCE380	Downwelling irradiance at 380 nanometers	-	W/m^2/nm	-	-	b	-	-	99999	float
67	DOWN_IRRADIANCE412	Downwelling irradiance at 412 nanometers	-	W/m^2/nm	-	-	b	-	-	99999	float
68	DOWN_IRRADIANCE443	Downwelling irradiance at 443 nanometers	-	W/m^2/nm	-	-	b	-	-	99999	float
69	DOWN_IRRADIANCE490	Downwelling irradiance at 490 nanometers	-	W/m^2/nm	-	-	b	-	-	99999	float
70	DOWN_IRRADIANCE555	Downwelling irradiance at 555 nanometers	-	W/m^2/nm	-	-	b	-	-	99999	float
71	RAW_UPWELLING_RADIANCE	Raw upwelling radiance at x nanometers	-	count	-	-	i	-	-	99999.	double
72	RAW_UPWELLING_RADIANCE412	Raw upwelling radiance at 412 nanometers	-	count	-	-	i	-	-	99999.	double
73	RAW_UPWELLING_RADIANCE443	Raw upwelling radiance at 443 nanometers	-	count	-	-	i	-	-	99999.	double
74	RAW_UPWELLING_RADIANCE490	Raw upwelling radiance at 490 nanometers	-	count	-	-	i	-	-	99999.	double
75	RAW_UPWELLING_RADIANCE555	Raw upwelling radiance at 555 nanometers	-	count	-	-	i	-	-	99999.	double
76	UP_RADIANCE	Upwelling radiance at x nanometers	upwelling_radiance_in_sea_water	W/m^2/nm/sr	-	-	b	-	-	99999	float
77	UP_RADIANCE412	Upwelling radiance at 412 nanometers	upwelling_radiance_in_sea_water	W/m^2/nm/sr	-	-	b	-	-	99999	float
78	UP_RADIANCE443	Upwelling radiance at 443 nanometers	upwelling_radiance_in_sea_water	W/m^2/nm/sr	-	-	b	-	-	99999	float
79	UP_RADIANCE490	Upwelling radiance at 490 nanometers	upwelling_radiance_in_sea_water	W/m^2/nm/sr	-	-	b	-	-	99999	float
80	UP_RADIANCE555	Upwelling radiance at 555 nanometers	upwelling_radiance_in_sea_water	W/m^2/nm/sr	-	-	b	-	-	99999	float
81	RAW_DOWNWELLING_PAR	Raw downwelling photosynthetic available radiation	-	count	-	-	i	-	-	99999.	double
82	DOWNWELLING_PAR	Downwelling photosynthetic available radiation	downwelling_photosynthetic_photon_flux_in_sea_water	microMoleQuanta/m^2/sec	-	-	b	-	-	99999	float
83	TILT	Inclination of the float axis in respect to the local vertical	-	degree	-	-	i	-	-	99999	float
84	MTIME	Fractional day of the individual measurement relative to JULD of the station	-	days	-3.	3	i	-	-	999999.	double
