Order	parameter name	long_name	cf_standard_name	unit	valid_min	valid_max	core/bio/intermediate core/intermediate bio	sdn_parameter_urn	sdn_uom_urn	Fillvalue	Data Type
1	CNDC	Electrical conductivity	sea_water_electrical_conductivity	mhos/m	0	8.5	c	SDN:P01::CNDCST01	SDN:P06::UECA	99999	float
2	PRES	Sea water pressure, equals 0 at sea-level	sea_water_pressure	decibar	0	12000	c	SDN:P01::PRESPR01	SDN:P06::UPDB	99999	float
3	PSAL	Practical salinity	sea_water_salinity	psu	2	41	c	SDN:P01::PSALST01	SDN:P06::UUUU	99999	float
4	TEMP	Sea temperature in-situ ITS-90 scale	sea_water_temperature	degree_Celsius	-2.5	40	c	SDN:P01::TEMPST01	SDN:P06::UPAA	99999	float
5	DOXY	Dissolved oxygen	moles_of_oxygen_per_unit_mass_in_sea_water	micromole/kg	-5	600	b	SDN:P01::DOXMZZXX	SDN:P06::KGUM	99999	float
6	TEMP_DOXY	Sea temperature from oxygen sensor ITS-90 scale	temperature_of_sensor_for_oxygen_in_sea_water	degree_Celsius	-2	40	ib	SDN:P01::OXYTAAOP	SDN:P06::UPAA	99999	float
7	TEMP_VOLTAGE_DOXY	Thermistor voltage reported by oxygen sensor	-	volt	-	-	ib	SDN:P01::TCNTOPTT	SDN:P06::UVLT	99999	float
8	VOLTAGE_DOXY	Voltage reported by oxygen sensor	-	volt	0	100	ib	SDN:P01::OXYOCPVL	SDN:P06::UVLT	99999	float
9	FREQUENCY_DOXY	Frequency reported by oxygen sensor	-	hertz	0	25000	ib	SDN:P01::OXYOCPFR	SDN:P06::UTHZ	99999	float
10	COUNT_DOXY	Count reported by oxygen sensor	-	count	-	-	ib	SDN:P01::OXYOOPCT	SDN:P06::UUUU	99999	float
11	BPHASE_DOXY	Uncalibrated phase shift reported by oxygen sensor	-	degree	10	70	ib	SDN:P01::OXYCPHAB	SDN:P06::UAAA	99999	float
12	DPHASE_DOXY	Calibrated phase shift reported by oxygen sensor	-	degree	10	70	ib	SDN:P01::OXYCPHAC	SDN:P06::UAAA	99999	float
13	TPHASE_DOXY	Uncalibrated phase shift reported by oxygen sensor	-	degree	10	70	ib	SDN:P01::OXYCPHTC	SDN:P06::UAAA	99999	float
14	C1PHASE_DOXY	Uncalibrated phase shift reported by oxygen sensor	-	degree	10	70	ib	SDN:P01::OXYCPHAB	SDN:P06::UAAA	99999	float
15	C2PHASE_DOXY	Uncalibrated phase shift reported by oxygen sensor	-	degree	0	15	ib	SDN:P01::OXYCPHAR	SDN:P06::UAAA	99999	float
16	MOLAR_DOXY	Uncompensated (pressure and salinity) oxygen concentration reported by the oxygen sensor	mole_concentration_of_dissolved_molecular_oxygen_in_sea_water	micromole/l	0	650	ib	SDN:P01::DOXYMMOP	SDN:P06::MMPL	99999	float
17	PHASE_DELAY_DOXY	Phase delay reported by oxygen sensor	-	microsecond	0	99999	ib	SDN:P01::OXYCPH01	SDN:P06::USEC	99999	float
18	MLPL_DOXY	Oxygen concentration reported by the oxygen sensor	-	ml/l	0	650	ib	SDN:P01::DOXYZZXX	SDN:P06::UMLL	99999	float
19	NB_SAMPLE_CTD	Number of samples in each pressure bin for the CTD	-	dimensionless	-	-	ic	SDN:P01::NUMVALES	SDN:P06::UUUU	99999	float
20	NB_SAMPLE_SFET	Number of samples in each pressure bin for the SFET	-	dimensionless	-	-	ib	SDN:P01::NUMVALES	SDN:P06::UUUU	99999	float
