dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-291-0-0
the8x3_filename: 00240000
filename_extension: tbd
filename_label: sunfish-2021-291-0-0-tbd(00240000)
mission_name: status.mi
fileopen_time: Tue_Oct_19_13:47:16_2021
sensors_per_cycle: 18
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-291-0-0
sci_flbbcd_bb_ref sci_flbbcd_bb_sig sci_flbbcd_bb_units sci_flbbcd_cdom_ref sci_flbbcd_cdom_sig sci_flbbcd_cdom_units sci_flbbcd_chlor_ref sci_flbbcd_chlor_sig sci_flbbcd_chlor_units sci_flbbcd_therm sci_m_present_secs_into_mission sci_m_present_time sci_oxy4_oxygen sci_oxy4_saturation sci_oxy4_temp sci_water_cond sci_water_pressure sci_water_temp 
nodim nodim nodim nodim nodim ppb nodim nodim ug/l nodim sec timestamp um % degc s/m bar degc 
4 4 4 4 4 4 4 4 4 4 4 8 4 4 4 4 4 4 
0 0 0 0 0 0 0 0 0 0 1.92 1634651236.335 0 0 0 0 0 0 
700 4130 0.0073984 460 140 8.136 695 2694 19.3377 542 15.92 1634651250.335 NaN NaN NaN NaN NaN NaN 
700 4130 0.0073984 460 140 8.136 695 2692 19.3231 542 16.92 1634651251.335 NaN NaN NaN NaN NaN NaN 
700 4130 0.0073984 460 139 8.0456 695 2700 19.3815 541 17.92 1634651252.335 NaN NaN NaN NaN NaN NaN 
700 4130 0.0073984 460 141 8.2264 695 2696 19.3523 541 18.92 1634651253.335 279.753 93.604 17.472 NaN NaN NaN 
700 4130 0.0073984 460 139 8.0456 695 2695 19.345 541 19.92 1634651254.335 NaN NaN NaN NaN NaN NaN 
700 4130 0.0073984 460 139 8.0456 695 2692 19.3231 541 20.92 1634651255.335 279.466 93.581 17.51 NaN NaN NaN 
700 4130 0.0073984 460 140 8.136 695 2695 19.345 541 21.92 1634651256.335 NaN NaN NaN NaN NaN NaN 
700 4130 0.0073984 460 141 8.2264 695 2694 19.3377 541 22.92 1634651257.335 279.433 93.579 17.514 0.0002 -0.01 16.8574 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 23.92 1634651258.335 NaN NaN NaN 0.00019 -0.01095 16.8353 
700 4130 0.0073984 460 141 8.2264 695 2691 19.3158 541 24.92 1634651259.335 278.962 93.479 17.544 0.00031 -0.01081 16.8008 
700 4130 0.0073984 460 141 8.2264 695 2690 19.3085 541 25.92 1634651260.335 NaN NaN NaN 0.00024 -0.01134 16.7363 
