dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-291-2-1
the8x3_filename: 00260001
filename_extension: tbd
filename_label: sunfish-2021-291-2-1-tbd(00260001)
mission_name: regm20.mi
fileopen_time: Tue_Oct_19_14:55:54_2021
sensors_per_cycle: 18
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-291-2-1
sci_flbbcd_bb_ref sci_flbbcd_bb_sig sci_flbbcd_bb_units sci_flbbcd_cdom_ref sci_flbbcd_cdom_sig sci_flbbcd_cdom_units sci_flbbcd_chlor_ref sci_flbbcd_chlor_sig sci_flbbcd_chlor_units sci_flbbcd_therm sci_m_present_secs_into_mission sci_m_present_time sci_oxy4_oxygen sci_oxy4_saturation sci_oxy4_temp sci_water_cond sci_water_pressure sci_water_temp 
nodim nodim nodim nodim nodim ppb nodim nodim ug/l nodim sec timestamp um % degc s/m bar degc 
4 4 4 4 4 4 4 4 4 4 4 8 4 4 4 4 4 4 
700 346 0.000541788 460 64 1.2656 695 88 0.3139 557 3162.37 1634655406 NaN NaN NaN NaN NaN NaN 
700 292 0.00044394 460 61 0.9944 695 80 0.2555 557 3163.37 1634655407 NaN NaN NaN NaN NaN NaN 
700 317 0.00048924 460 63 1.1752 695 82 0.2701 557 3164.37 1634655408 NaN NaN NaN NaN NaN NaN 
700 298 0.000454812 460 61 0.9944 695 83 0.2774 556 3165.37 1634655409 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3166.37 1634655410 307.415 91.113 11.898 NaN NaN NaN 
700 300 0.000458436 460 63 1.1752 695 82 0.2701 556 3167.37 1634655411 NaN NaN NaN NaN NaN NaN 
700 300 0.000458436 460 61 0.9944 695 82 0.2701 556 3168.37 1634655412 307.32 91.086 11.899 NaN NaN NaN 
700 305 0.000467496 460 63 1.1752 695 81 0.2628 556 3169.37 1634655413 NaN NaN NaN NaN NaN NaN 
700 288 0.000436692 460 63 1.1752 695 84 0.2847 556 3170.37 1634655414 307.509 91.137 11.896 3.53508 0.01826 11.8513 
700 318 0.000491052 460 63 1.1752 695 84 0.2847 556 3171.37 1634655415 NaN NaN NaN 3.53524 0.02221 11.8503 
700 309 0.000474744 460 62 1.0848 695 82 0.2701 556 3172.37 1634655416 307.21 91.067 11.905 3.53526 0.02606 11.8521 
700 327 0.00050736 460 63 1.1752 695 87 0.3066 556 3173.37 1634655417 NaN NaN NaN 3.5354 0.02673 11.8533 
