dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-1
the8x3_filename: 00410001
filename_extension: sbd
filename_label: sunfish-2021-335-1-1-sbd(00410001)
mission_name: regm20.mi
fileopen_time: Thu_Dec__2_15:12:56_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-1
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.568009 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638457971.309 0.0568009 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.00289484 NaN NaN NaN NaN NaN NaN NaN NaN 1638457985.307 NaN NaN NaN NaN NaN NaN NaN 
0.9 430 NaN NaN NaN NaN NaN NaN 14.7177 0.920501 NaN NaN 0.50247 430.915 NaN NaN NaN NaN NaN NaN 4755.52770009655 -5327.52300007909 NaN 1638458006.467 0.050247 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 5.8393 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638458013.999 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.480623 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638458038.131 0.0480623 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.00289484 NaN NaN NaN NaN NaN NaN NaN NaN 1638458046.136 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.546163 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638458070.158 0.0546163 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 5.82388 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638458074.165 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.4538 NaN NaN NaN NaN NaN NaN NaN 7.93028 NaN NaN NaN NaN NaN NaN 3.90954 NaN NaN -0.568977 1638458102.185 0.793028 NaN -0.0296706 NaN NaN NaN 4 
NaN NaN 0.45 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.176585 NaN NaN NaN NaN NaN NaN NaN NaN 1638458107.155 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 5.81797 NaN NaN NaN NaN NaN NaN NaN NaN 18.0671 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638458141.163 1.80671 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.427251 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.451516 NaN NaN NaN NaN 4.4663 NaN NaN NaN 1638458171.168 NaN NaN -0.00349066 NaN NaN NaN 4 
NaN NaN NaN 5.83813 NaN NaN NaN NaN NaN NaN NaN NaN 31.5682 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638458201.174 3.15682 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638458231.18 NaN NaN NaN 7.70987 -0.0546615 -0.0499114 NaN 
