dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-106
the8x3_filename: 00410106
filename_extension: sbd
filename_label: sunfish-2021-335-1-106-sbd(00410106)
mission_name: regm20.mi
fileopen_time: Sat_Dec_11_22:56:27_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-106
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.00272979 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639263404.477 0.000272979 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.161993 0.0137543 NaN NaN NaN NaN NaN NaN 1639263416.489 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN 1639263420.499 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.56268 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639263424 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.090083 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639263436.033 0.0090083 NaN NaN NaN NaN NaN NaN 
0 -237.5 NaN NaN NaN NaN NaN NaN 14.9405 -0.0230482 NaN NaN NaN -230.001 NaN NaN NaN NaN NaN NaN 4846.73920010602 -5100.86230000003 NaN 1639263464.109 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.07281 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639263468.118 0.107281 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.00289484 NaN NaN NaN NaN NaN NaN NaN NaN 1639263480.125 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.56267 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639263484.132 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 6.00826 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639263500.144 0.600826 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4.42965 NaN NaN NaN 1639263512.155 NaN NaN 0.0418879 NaN NaN NaN 5 
NaN NaN -0.45 1.56265 NaN NaN NaN NaN NaN NaN NaN NaN 13.0402 NaN -0.455017 NaN NaN NaN NaN NaN NaN NaN NaN 1639263546.168 1.30402 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.71755 NaN NaN NaN 1639263576.174 NaN NaN 0.0366519 NaN NaN NaN 4 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN 20.7273 NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.37001 1639263606.18 2.07273 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.392595 1.56253 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.45385 NaN NaN NaN NaN NaN NaN NaN NaN 1639263636.186 NaN NaN NaN NaN NaN NaN NaN 
