dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-116
the8x3_filename: 00410116
filename_extension: sbd
filename_label: sunfish-2021-335-1-116-sbd(00410116)
mission_name: regm20.mi
fileopen_time: Sun_Dec_12_21:59:14_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-116
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN 1639346349.19 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639346359.495 -0.0106462 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.185674 0.0299858 NaN NaN NaN NaN NaN NaN 1639346383.515 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.56624 NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639346392 -0.0630581 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0231587 NaN NaN NaN NaN NaN NaN NaN NaN 1639346412.109 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.330304 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639346424.115 0.0330304 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 45.3686 59.5236 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639346440.131 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.5662 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639346452.142 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4.89451 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639346456.15 0.489451 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.00289484 NaN NaN NaN NaN NaN NaN NaN NaN 1639346472.16 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4.07883 NaN NaN -0.50091 1639346476.166 NaN NaN 0.0366519 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 13.0839 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639346510.359 1.30839 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.45 1.56613 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.452683 NaN NaN NaN NaN 3.43481 NaN NaN NaN 1639346540.365 NaN NaN 0.0401426 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 20.2468 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639346570.371 2.02468 NaN NaN NaN NaN NaN NaN 
