dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-130
the8x3_filename: 00410130
filename_extension: sbd
filename_label: sunfish-2021-335-1-130-sbd(00410130)
mission_name: regm20.mi
fileopen_time: Tue_Dec_14_12:49:30_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-130
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639486175.987 -0.0218428 NaN NaN NaN NaN NaN NaN 
0.9 87.5 NaN NaN NaN NaN NaN NaN 15.0228 0.923737 NaN NaN NaN 88.2641 NaN NaN NaN NaN NaN NaN 4847.16300010601 -4952.69209999732 NaN 1639486196.003 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.107903 -0.354961 NaN NaN NaN NaN NaN NaN 1639486204.013 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639486208.023 -0.0131057 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.57798 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639486212.002 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.00289484 NaN NaN NaN NaN NaN NaN NaN NaN 1639486216.006 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.218428 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639486240.113 0.0218428 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.57789 NaN NaN NaN NaN NaN NaN NaN NaN 0.196585 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639486272.138 0.0196585 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0723711 NaN NaN NaN NaN NaN NaN NaN NaN 1639486276.146 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.14536 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639486304.165 0.314536 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.57783 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639486332.236 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN -0.14628 NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN 7.92892 NaN -0.00578968 NaN NaN NaN NaN 3.88859 NaN NaN -0.527089 1639486336.238 0.792892 NaN 0.0418879 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 12.7999 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639486371.079 1.27999 NaN NaN 7.84873 NaN NaN NaN 
NaN NaN -0.411046 1.57777 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.45385 NaN NaN NaN NaN 3.09447 NaN NaN NaN 1639486401.084 NaN NaN 0.0279253 NaN NaN NaN 4 
