dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-14
the8x3_filename: 00410014
filename_extension: sbd
filename_label: sunfish-2021-335-1-14-sbd(00410014)
mission_name: regm20.mi
fileopen_time: Fri_Dec__3_13:58:57_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-14
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0231587 NaN NaN NaN NaN NaN NaN NaN NaN 1638539938.644 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.464237 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638539950.657 0.0464237 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0663263 0.037623 NaN NaN NaN 4805.89590009872 -5317.20520004943 NaN 1638539966.67 NaN NaN NaN NaN 0.0663263 0.037623 NaN 
NaN NaN NaN 1.37679 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638539974.999 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.595315 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638539983.04 0.0595315 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.00289484 NaN NaN NaN NaN NaN NaN NaN NaN 1638539999.108 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.551622 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638540015.117 0.0551622 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.37798 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638540035.154 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.16332 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638540047.165 0.116332 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.00289484 NaN NaN NaN NaN NaN NaN NaN NaN 1638540059.175 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5.42338 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638540079.193 0.542338 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.37574 -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.47146 NaN NaN -0.472984 1638540095.26 NaN NaN -0.0174533 NaN NaN NaN 4 
NaN NaN -0.45 NaN NaN NaN NaN NaN NaN NaN NaN NaN 13.7469 NaN -0.455017 NaN NaN NaN NaN NaN NaN NaN NaN 1638540133.389 1.37469 NaN NaN NaN NaN NaN NaN 
-0.408468 -262.5 NaN 1.37035 NaN NaN NaN NaN 14.7313 -0.374249 NaN NaN NaN -254.137 NaN NaN NaN NaN NaN 2.86932 NaN NaN NaN 1638540163.395 NaN NaN -0.0139626 NaN NaN NaN 4 
