dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-4
the8x3_filename: 00410004
filename_extension: tbd
filename_label: sunfish-2021-335-1-4-tbd(00410004)
mission_name: regm20.mi
fileopen_time: Thu_Dec__2_17:37:31_2021
sensors_per_cycle: 18
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-4
sci_flbbcd_bb_ref sci_flbbcd_bb_sig sci_flbbcd_bb_units sci_flbbcd_cdom_ref sci_flbbcd_cdom_sig sci_flbbcd_cdom_units sci_flbbcd_chlor_ref sci_flbbcd_chlor_sig sci_flbbcd_chlor_units sci_flbbcd_therm sci_m_present_secs_into_mission sci_m_present_time sci_oxy4_oxygen sci_oxy4_saturation sci_oxy4_temp sci_water_cond sci_water_pressure sci_water_temp 
nodim nodim nodim nodim nodim ppb nodim nodim ug/l nodim sec timestamp um % degc s/m bar degc 
4 4 4 4 4 4 4 4 4 4 4 8 4 4 4 4 4 4 
700 235 0.000340656 460 64 1.2656 695 155 0.803 570 12720.3 1638466703 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 12724.3 1638466707 354.063 92.134 6.463 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 12728.3 1638466711 NaN NaN NaN 3.09889 0.01976 6.4401 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 12739.3 1638466722 NaN NaN NaN 3.09977 0.02303 6.444 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 12745.3 1638466728 354.06 92.128 6.461 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 12750.3 1638466733 NaN NaN NaN 3.10035 0.04683 6.442 
700 219 0.000311664 460 64 1.2656 695 150 0.7665 568 12751.3 1638466734 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 12761.3 1638466744 NaN NaN NaN 3.10126 0.06434 6.441 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 12766.3 1638466749 353.912 92.099 6.465 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 12772.3 1638466755 NaN NaN NaN 3.10439 0.14899 6.4477 
700 223 0.000318912 460 64 1.2656 695 177 0.9636 566 12782.3 1638466765 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 12783.3 1638466766 NaN NaN NaN 3.12894 0.3952 6.434 
