dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-44
the8x3_filename: 00410044
filename_extension: sbd
filename_label: sunfish-2021-335-1-44-sbd(00410044)
mission_name: regm20.mi
fileopen_time: Sun_Dec__5_15:04:15_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-44
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.202057 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638716656.535 0.0202057 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.223901 NaN -0.00289484 -0.122517 0.0115296 NaN NaN NaN NaN NaN NaN 1638716688.559 0.0223901 NaN NaN NaN NaN NaN NaN 
0 430 NaN 2.05409 NaN NaN NaN NaN 14.7624 0.404219 NaN NaN NaN 430.643 NaN NaN NaN NaN NaN NaN 4819.28360010138 -5258.15930001984 NaN 1638716696.999 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.245745 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638716721.307 0.0245745 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0752659 NaN NaN NaN NaN NaN NaN NaN NaN 1638716749.323 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.551562 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638716753.332 0.0551562 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 2.05485 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638716757.335 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.79667 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638716785.353 0.179667 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN 1638716809.371 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 2.05451 NaN NaN NaN NaN NaN NaN NaN NaN 5.64122 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638716817.433 0.564122 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4.3162 NaN NaN -0.39619 1638716833.443 NaN NaN 0.0558505 NaN NaN NaN 5 
NaN NaN -0.45 NaN NaN NaN NaN NaN NaN NaN NaN NaN 12.1726 NaN -0.45385 NaN NaN NaN NaN NaN NaN NaN NaN 1638716871.46 1.21726 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 2.05324 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4.00204 NaN NaN NaN 1638716901.466 NaN NaN 0.0418879 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 19.2282 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638716931.472 1.92282 NaN NaN NaN -0.122517 0.0115296 NaN 
