dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-72
the8x3_filename: 00410072
filename_extension: sbd
filename_label: sunfish-2021-335-1-72-sbd(00410072)
mission_name: regm20.mi
fileopen_time: Wed_Dec__8_08:18:27_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-72
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN 1638951502.411 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0709821 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638951524.643 0.00709821 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0521604 -0.200633 NaN NaN NaN NaN NaN NaN 1638951536.655 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 0.981109 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638951543.999 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.311229 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638951556.015 0.0311229 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.055002 NaN NaN NaN NaN NaN NaN NaN NaN 1638951564.077 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.4251 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638951588.09 0.14251 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 0.981477 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638951604.106 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 6.38293 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638951620.12 0.638293 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN 1638951624.125 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4.88343 NaN NaN -0.466003 1638951632.13 NaN NaN 0.015708 NaN NaN NaN 5 
NaN NaN NaN 0.98194 NaN NaN NaN NaN NaN NaN NaN NaN 13.4811 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638951670.147 1.34811 NaN NaN NaN NaN NaN NaN 
-0.195469 -237.5 0.430724 NaN NaN NaN NaN NaN 14.8869 -0.142813 NaN NaN NaN -229.049 0.451516 NaN NaN NaN NaN 5.87129 4831.01294258876 -5225.24774014301 NaN 1638951700.153 NaN NaN 0.00698132 7.97056 NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 22.2174 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638951730.159 2.22174 NaN NaN NaN NaN NaN NaN 
