dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-95
the8x3_filename: 00410095
filename_extension: sbd
filename_label: sunfish-2021-335-1-95-sbd(00410095)
mission_name: regm20.mi
fileopen_time: Fri_Dec_10_19:31:16_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-95
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0327649 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639164671.345 0.00327649 NaN NaN 9.49571 NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639164685.494 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.13471 0.0116602 NaN NaN NaN NaN NaN NaN 1639164705.509 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639164709.52 -0.0207511 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.56159 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN 1639164714 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.753593 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639164742.109 0.0753593 NaN NaN NaN NaN NaN NaN 
NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639164746.111 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.56158 NaN NaN NaN NaN NaN NaN NaN NaN 4.6417 NaN -0.00868453 NaN NaN NaN NaN NaN NaN NaN NaN 1639164774.128 0.46417 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5.39656 NaN NaN NaN 1639164790.144 NaN NaN 0.0488692 NaN NaN NaN 5 
NaN NaN 0.45 NaN NaN NaN NaN NaN NaN NaN NaN NaN 13.9032 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639164824.158 1.39032 NaN NaN NaN NaN NaN NaN 
-0.316319 -262.5 NaN 1.56163 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.451516 NaN NaN NaN NaN 5.92714 NaN NaN NaN 1639164854.164 NaN NaN 0.0575959 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 22.0508 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639164884.169 2.20508 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.347457 NaN -0.3491 NaN NaN NaN 14.9121 -0.272288 NaN NaN NaN -251.848 NaN NaN NaN NaN NaN NaN 4840.10948176299 -5128.24556617289 -0.326377 1639164914.174 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.56175 NaN NaN NaN NaN NaN NaN NaN NaN 30.242 NaN 0.346483 NaN NaN NaN NaN 0.706858 NaN NaN NaN 1639164944.18 3.0242 NaN 0.0593412 NaN NaN NaN 4 
