dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-348-1-0
the8x3_filename: 00440000
filename_extension: tbd
filename_label: sunfish-2021-348-1-0-tbd(00440000)
mission_name: regm20.mi
fileopen_time: Wed_Dec_15_16:06:51_2021
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-348-1-0
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1639584411.254 0 0 0 0 0 0 
0 0 0 1639584445.254 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1639584480.254 NaN NaN NaN 3.0712 0.00315 3.4299 
NaN NaN NaN 1639584531.254 33.024 376.963 90.701 NaN NaN NaN 
NaN NaN NaN 1639584541.254 NaN NaN NaN 3.06978 0.09452 3.4311 
NaN NaN NaN 1639584602.254 NaN NaN NaN 3.06955 0.08677 3.4317 
NaN NaN NaN 1639584652.254 33.008 377.11 90.784 NaN NaN NaN 
NaN NaN NaN 1639584663.254 NaN NaN NaN 3.07551 0.24943 3.4347 
NaN NaN NaN 1639584724.254 NaN NaN NaN 3.08165 0.44638 3.4376 
NaN NaN NaN 1639584773.254 33.006 376.854 90.768 NaN NaN NaN 
NaN NaN NaN 1639584785.254 NaN NaN NaN 3.09078 0.87631 3.4357 
NaN NaN NaN 1639584846.254 NaN NaN NaN 3.09807 1.42578 3.4386 
NaN NaN NaN 1639584894.254 33.003 376.903 90.785 NaN NaN NaN 
NaN NaN NaN 1639584907.254 NaN NaN NaN 3.10321 2.0791 3.439 
NaN NaN NaN 1639584968.254 NaN NaN NaN 3.10576 2.67289 3.4394 
NaN NaN NaN 1639585015.254 33.013 376.712 90.725 NaN NaN NaN 
NaN NaN NaN 1639585029.254 NaN NaN NaN 3.10742 3.05915 3.4397 
NaN NaN NaN 1639585090.254 NaN NaN NaN 3.11056 3.50106 3.4599 
NaN NaN NaN 1639585136.254 33.022 376.138 90.631 NaN NaN NaN 
NaN NaN NaN 1639585151.254 NaN NaN NaN 3.11176 4.13412 3.4645 
NaN NaN NaN 1639585212.254 NaN NaN NaN 3.11464 4.78251 3.4826 
NaN NaN NaN 1639585257.254 33.025 375.584 90.562 NaN NaN NaN 
NaN NaN NaN 1639585273.254 NaN NaN NaN 3.11738 5.412 3.5039 
