dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-349-0-0
the8x3_filename: 00450000
filename_extension: sbd
filename_label: sunfish-2021-349-0-0-sbd(00450000)
mission_name: regm20.mi
fileopen_time: Thu_Dec_16_20:57:26_2021
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-349-0-0
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.535061 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639688329.079 0.0535061 NaN -0.0558505 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 12.1138 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639688428.207 1.21138 NaN 0 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 30.0281 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639688518.24 3.00281 NaN 0.0174533 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN 0 -0.136424 0.179823 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639688548.25 NaN 1.86667 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 47.5491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639688623.277 4.75491 NaN 0.00523599 NaN NaN NaN NaN NaN 
-0.248143 NaN 0.0330496 1.12372 -0.4538 NaN NaN NaN NaN NaN 14.7417 -0.293327 NaN NaN 0.0318433 NaN NaN NaN NaN 0.970403 NaN NaN -0.445059 1639688638.282 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 64.7862 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639688728.316 6.47862 NaN 0.0174533 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 81.761 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639688833.353 8.1761 NaN 0.0139626 NaN NaN NaN NaN NaN 
NaN -330 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -336.95 NaN NaN NaN NaN NaN NaN 4833.76595542326 -4844.18520587483 NaN 1639688848.358 NaN NaN NaN 1 7.73443 0 0 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.163574 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639688863.364 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 97.7091 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639688938.391 9.77091 NaN 0.0122173 NaN NaN NaN NaN NaN 
-0.248143 NaN -0.0297591 1.12375 -0.4538 NaN NaN NaN NaN NaN 14.9229 -0.293327 114.116 NaN -0.0318433 NaN NaN NaN NaN 0.893609 NaN NaN -0.427606 1639689043.429 11.4116 NaN 0.00698132 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 128.884 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639689148.466 12.8884 NaN 0.00698132 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.142124 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639689178.477 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 144.199 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639689253.504 14.4199 NaN 0.0122173 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 158.967 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639689358.542 15.8967 NaN 0.015708 NaN NaN NaN NaN NaN 
-0.248143 NaN -0.0134463 1.12394 -0.4538 NaN NaN NaN NaN NaN 14.9717 -0.293327 NaN NaN 0.0260536 NaN NaN NaN NaN 1.20253 NaN NaN -0.415388 1639689448.574 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN -330 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 173.036 -337.54 NaN NaN NaN NaN NaN NaN 4833.8386023091 -4844.09992575629 NaN 1639689463.581 17.3036 NaN 0.00872665 NaN 7.72231 NaN NaN 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.132529 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639689493.592 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 187.281 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639689568.621 18.7281 NaN 0.0122173 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 201.525 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639689673.66 20.1525 NaN 0.0122173 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 216.162 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639689778.698 21.6162 NaN 0.00872665 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.139663 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639689808.708 NaN NaN NaN NaN NaN NaN NaN NaN 
-0.248143 NaN 0.0652333 1.12405 -0.4538 NaN NaN NaN NaN NaN 14.9954 -0.293327 NaN NaN 0.0781607 NaN NaN NaN NaN 0.881391 NaN NaN -0.406662 1639689853.726 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 230.996 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639689883.737 23.0996 NaN 0.00872665 NaN NaN NaN NaN NaN 
