dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-012-0-0
the8x3_filename: 00460000
filename_extension: tbd
filename_label: sunfish-2022-012-0-0-tbd(00460000)
mission_name: regm20.mi
fileopen_time: Thu_Jan_13_02:17:06_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-012-0-0
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
0.000197508 0.9944 0.2701 1642040226.909 32.982 339.193 87 3.38895 0.02372 5.9041 
NaN NaN NaN 1642040288 NaN NaN NaN 3.38929 0.0264 5.9073 
NaN NaN NaN 1642040349 NaN NaN NaN 3.39098 0.30761 5.9213 
NaN NaN NaN 1642040410 NaN NaN NaN 3.39271 1.21234 5.932 
NaN NaN NaN 1642040471 NaN NaN NaN 3.39342 2.00187 5.9371 
NaN NaN NaN 1642040532 NaN NaN NaN 3.39471 2.71636 5.9461 
NaN NaN NaN 1642040593 NaN NaN NaN 3.3949 3.47123 5.9469 
NaN NaN NaN 1642040654 NaN NaN NaN 3.39488 4.19609 5.9413 
NaN NaN NaN 1642040715 NaN NaN NaN 3.39498 4.92371 5.9424 
NaN NaN NaN 1642040776 NaN NaN NaN 3.39494 5.65034 5.9351 
NaN NaN NaN 1642040837 NaN NaN NaN 3.39532 6.47745 5.9362 
NaN NaN NaN 1642040898 NaN NaN NaN 3.39543 7.41592 5.9356 
NaN NaN NaN 1642040959 NaN NaN NaN 3.39604 8.111 5.937 
NaN NaN NaN 1642041020 NaN NaN NaN 3.39619 8.86269 5.9348 
NaN NaN NaN 1642041081 NaN NaN NaN 3.38256 9.55328 5.8042 
NaN NaN NaN 1642041142 NaN NaN NaN 3.37308 10.3362 5.712 
NaN NaN NaN 1642041203 NaN NaN NaN 3.37036 11.0631 5.68 
NaN NaN NaN 1642041264 NaN NaN NaN 3.3689 11.8655 5.6557 
NaN NaN NaN 1642041325 NaN NaN NaN 3.3683 12.5822 5.6462 
NaN NaN NaN 1642041386 NaN NaN NaN 3.41484 13.3695 5.9503 
NaN NaN NaN 1642041447 NaN NaN NaN 3.40019 14.1323 5.7398 
NaN NaN NaN 1642041508 NaN NaN NaN 3.40654 14.8443 5.7801 
NaN NaN NaN 1642041569 NaN NaN NaN 3.40408 15.6155 5.7502 
