dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-014-1-6
the8x3_filename: 00490006
filename_extension: sbd
filename_label: sunfish-2022-014-1-6-sbd(00490006)
mission_name: regm20.mi
fileopen_time: Mon_Jan_17_06:18:22_2022
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-014-1-6
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0234163 0.116412 NaN NaN NaN NaN NaN NaN 1642400331.673 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 0.138322 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642400339 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642400359.103 -0.00682471 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN 0.106579 NaN NaN NaN NaN NaN NaN NaN NaN NaN 5.4943 NaN NaN -0.640536 1642400447.161 NaN NaN 0.0558505 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 9.23519 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642400451.171 0.923519 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 22.8409 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642400549.193 2.28409 NaN 0.0575959 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642400579.199 NaN NaN NaN NaN NaN -0.0234163 0.116412 NaN 
-0.542793 NaN 0.0783289 NaN NaN NaN NaN NaN NaN NaN 14.9771 -0.500487 37.2984 NaN 0.0955298 NaN NaN NaN NaN NaN NaN NaN NaN 1642400669.216 3.72984 NaN 0.0628319 NaN NaN NaN NaN NaN 
NaN NaN NaN 0.138784 NaN NaN NaN NaN NaN 0.12838 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642400759.234 NaN NaN NaN NaN NaN NaN NaN 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 52.8696 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642400789.24 5.28696 NaN 0.0558505 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 6.1488 NaN NaN -0.336849 1642400849.251 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN -330 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -320.723 NaN NaN NaN NaN NaN NaN 5337.62837665923 -4942.43121408773 NaN 1642400879.257 NaN NaN NaN NaN 7.75277 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 68.7248 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642400909.263 6.87248 NaN 0.0715585 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 86.196 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642401029.287 8.6196 NaN 0.0663225 NaN NaN NaN NaN NaN 
-0.469449 NaN 0.0740542 NaN NaN NaN NaN NaN NaN 0.130406 14.9669 -0.500487 NaN NaN 0.0868453 NaN NaN NaN NaN NaN NaN NaN NaN 1642401089.298 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 96.0236 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642401119.304 9.60236 NaN 0.0593412 NaN NaN NaN NaN NaN 
NaN NaN NaN 0.139601 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642401179.317 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 109.193 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642401239.328 10.9193 NaN 0.0558505 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5.94285 NaN NaN -0.303687 1642401269.334 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 124.96 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642401359.352 12.496 NaN 0.0645772 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642401389.358 NaN NaN NaN NaN NaN NaN NaN 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.126923 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642401419.364 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 139.156 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642401479.375 13.9156 NaN 0.0767945 NaN NaN NaN NaN NaN 
-0.469449 -330 0.155436 NaN NaN NaN NaN NaN NaN NaN 14.9851 -0.500487 NaN -321.403 0.159216 NaN NaN NaN NaN NaN 5337.71226668191 -4942.54737472453 NaN 1642401509.381 NaN NaN NaN NaN 7.73607 NaN NaN NaN 
NaN NaN NaN 0.140657 NaN NaN NaN NaN NaN NaN NaN NaN 151.255 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1642401599.399 15.1255 NaN 0.0558505 NaN NaN NaN NaN NaN 
