dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-125
the8x3_filename: 00510125
filename_extension: tbd
filename_label: sunfish-2022-020-0-125-tbd(00510125)
mission_name: regm20.mi
fileopen_time: Tue_Feb_15_13:31:56_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-125
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
0.000184824 0.9944 0.1679 1644931961.134 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1644931973.134 NaN NaN NaN 3.18284 0.00487 3.5305 
NaN NaN NaN 1644932005.134 33.415 363.519 87.72 NaN NaN NaN 
NaN NaN NaN 1644932034.134 NaN NaN NaN 3.18384 0.28265 3.5431 
NaN NaN NaN 1644932095.134 NaN NaN NaN 3.18541 1.00625 3.5544 
NaN NaN NaN 1644932126.134 33.404 363.08 87.722 NaN NaN NaN 
NaN NaN NaN 1644932156.134 NaN NaN NaN 3.1862 1.65498 3.5581 
NaN NaN NaN 1644932217.134 NaN NaN NaN 3.1868 2.28179 3.5633 
NaN NaN NaN 1644932247.134 33.409 362.796 87.673 NaN NaN NaN 
0.000173952 0.9944 0.3577 1644932262.134 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1644932278.134 NaN NaN NaN 3.18696 2.85982 3.5598 
NaN NaN NaN 1644932339.134 NaN NaN NaN 3.18714 3.43045 3.5581 
NaN NaN NaN 1644932368.134 33.419 362.606 87.611 NaN NaN NaN 
NaN NaN NaN 1644932400.134 NaN NaN NaN 3.18719 3.96494 3.5583 
NaN NaN NaN 1644932461.134 NaN NaN NaN 3.18742 4.46242 3.5588 
NaN NaN NaN 1644932489.134 33.424 362.522 87.584 NaN NaN NaN 
NaN NaN NaN 1644932522.134 NaN NaN NaN 3.18764 5.00416 3.5581 
0.000175764 0.9944 0.3285 1644932563.134 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1644932583.134 NaN NaN NaN 3.18774 5.58836 3.5571 
NaN NaN NaN 1644932610.134 33.432 362.259 87.522 NaN NaN NaN 
NaN NaN NaN 1644932644.134 NaN NaN NaN 3.18822 6.19882 3.5585 
NaN NaN NaN 1644932705.135 NaN NaN NaN 3.18845 6.79551 3.5568 
