dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-13
the8x3_filename: 00510013
filename_extension: tbd
filename_label: sunfish-2022-020-0-13-tbd(00510013)
mission_name: regm20.mi
fileopen_time: Sun_Jan_23_15:01:30_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-13
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
0.000179388 0.9944 0.1752 1642950142 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1642950146 33.261 362.571 88.27 NaN NaN NaN 
NaN NaN NaN 1642950150 NaN NaN NaN 3.20566 0.02791 3.8796 
NaN NaN NaN 1642950211 NaN NaN NaN 3.20578 0.44038 3.878 
NaN NaN NaN 1642950267 33.262 362.141 88.223 NaN NaN NaN 
NaN NaN NaN 1642950272 NaN NaN NaN 3.20725 1.33509 3.8879 
NaN NaN NaN 1642950333 NaN NaN NaN 3.20779 2.00445 3.8909 
NaN NaN NaN 1642950388 33.267 361.808 88.169 NaN NaN NaN 
NaN NaN NaN 1642950394 NaN NaN NaN 3.20838 2.69538 3.8921 
0.0001812 0.9944 0.2701 1642950443 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1642950455 NaN NaN NaN 3.2085 3.3899 3.8915 
NaN NaN NaN 1642950509 33.277 361.494 88.098 NaN NaN NaN 
NaN NaN NaN 1642950516 NaN NaN NaN 3.20883 4.11606 3.8917 
NaN NaN NaN 1642950577 NaN NaN NaN 3.20937 4.83824 3.8934 
NaN NaN NaN 1642950630 33.279 361.461 88.087 NaN NaN NaN 
NaN NaN NaN 1642950638 NaN NaN NaN 3.20931 5.57639 3.8905 
NaN NaN NaN 1642950699 NaN NaN NaN 3.20994 6.31737 3.8938 
0.000175764 0.9944 0.2701 1642950744 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1642950751 33.287 361.171 88.023 NaN NaN NaN 
NaN NaN NaN 1642950760 NaN NaN NaN 3.21081 7.10869 3.8972 
NaN NaN NaN 1642950821 NaN NaN NaN 3.21096 7.84832 3.8977 
NaN NaN NaN 1642950872 33.304 360.626 87.898 NaN NaN NaN 
NaN NaN NaN 1642950882 NaN NaN NaN 3.21167 8.5304 3.8993 
