dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-140
the8x3_filename: 00510140
filename_extension: tbd
filename_label: sunfish-2022-020-0-140-tbd(00510140)
mission_name: regm20.mi
fileopen_time: Sat_Feb_19_14:38:26_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-140
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1645281564 NaN NaN NaN 3.14822 0.00135 3.1044 
NaN NaN NaN 1645281574 33.585 365.458 87.197 NaN NaN NaN 
NaN NaN NaN 1645281625 NaN NaN NaN 3.14864 0.18528 3.109 
0.000202944 1.0848 0.1533 1645281629 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1645281686 NaN NaN NaN 3.14954 0.70761 3.1128 
NaN NaN NaN 1645281695 33.576 365.113 87.2 NaN NaN NaN 
NaN NaN NaN 1645281747 NaN NaN NaN 3.15009 1.32936 3.1152 
NaN NaN NaN 1645281808 NaN NaN NaN 3.15022 1.85197 3.1149 
NaN NaN NaN 1645281816 33.578 365.034 87.182 NaN NaN NaN 
NaN NaN NaN 1645281869 NaN NaN NaN 3.15092 2.43931 3.1147 
0.000183012 0.9944 0.3358 1645281930 NaN NaN NaN 3.15105 3.07597 3.1156 
NaN NaN NaN 1645281937 33.589 364.834 87.119 NaN NaN NaN 
NaN NaN NaN 1645281991 NaN NaN NaN 3.15237 3.70007 3.119 
NaN NaN NaN 1645282052 NaN NaN NaN 3.15939 4.29501 3.1621 
NaN NaN NaN 1645282058 33.596 364.204 87.029 NaN NaN NaN 
NaN NaN NaN 1645282113 NaN NaN NaN 3.16542 4.88505 3.2152 
NaN NaN NaN 1645282174 NaN NaN NaN 3.17018 5.50373 3.2575 
NaN NaN NaN 1645282179 33.641 361.279 86.56 NaN NaN NaN 
0.000170328 1.0848 0.1898 1645282231 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1645282235 NaN NaN NaN 3.17585 6.12754 3.3068 
NaN NaN NaN 1645282296 NaN NaN NaN 3.17485 6.74886 3.2938 
NaN NaN NaN 1645282300 33.684 359.262 86.185 NaN NaN NaN 
NaN NaN NaN 1645282357 NaN NaN NaN 3.1843 7.36578 3.3847 
