dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-155
the8x3_filename: 00510155
filename_extension: tbd
filename_label: sunfish-2022-020-0-155-tbd(00510155)
mission_name: regm20.mi
fileopen_time: Thu_Feb_24_05:05:22_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-155
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1645679124.948 33.642 362.036 86.627 NaN NaN NaN 
NaN NaN NaN 1645679179.007 NaN NaN NaN 3.16448 -0.0111 3.237 
0.000175764 0.9944 0.1971 1645679240.007 NaN NaN NaN 3.16518 0.43088 3.2423 
NaN NaN NaN 1645679246.007 33.704 359.629 86.14 NaN NaN NaN 
NaN NaN NaN 1645679301.007 NaN NaN NaN 3.16648 1.00851 3.2496 
NaN NaN NaN 1645679362.007 NaN NaN NaN 3.16662 1.51925 3.2515 
NaN NaN NaN 1645679367.007 33.702 359.428 86.13 NaN NaN NaN 
NaN NaN NaN 1645679423.007 NaN NaN NaN 3.16677 2.03971 3.2489 
NaN NaN NaN 1645679484.007 NaN NaN NaN 3.16699 2.5566 3.2509 
NaN NaN NaN 1645679488.007 33.707 359.248 86.09 NaN NaN NaN 
0.000159456 0.9944 0.1971 1645679541.007 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1645679545.007 NaN NaN NaN 3.16742 3.08495 3.2504 
NaN NaN NaN 1645679606.007 NaN NaN NaN 3.1677 3.60286 3.251 
NaN NaN NaN 1645679609.007 33.717 359.058 86.031 NaN NaN NaN 
NaN NaN NaN 1645679667.007 NaN NaN NaN 3.16783 4.24431 3.2506 
NaN NaN NaN 1645679728.007 NaN NaN NaN 3.16788 4.94979 3.2464 
NaN NaN NaN 1645679730.007 33.723 358.87 85.99 NaN NaN NaN 
NaN NaN NaN 1645679789.007 NaN NaN NaN 3.16802 5.58759 3.2459 
0.000161268 0.9944 0.1971 1645679842.008 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1645679850.008 NaN NaN NaN 3.16867 6.19959 3.2481 
NaN NaN NaN 1645679851.008 33.726 358.795 85.968 NaN NaN NaN 
NaN NaN NaN 1645679911.008 NaN NaN NaN 3.16843 6.86627 3.2457 
