dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-163
the8x3_filename: 00510163
filename_extension: tbd
filename_label: sunfish-2022-020-0-163-tbd(00510163)
mission_name: regm20.mi
fileopen_time: Sun_Feb_27_13:21:23_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-163
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1645968130.006 33.372 369.596 88.491 NaN NaN NaN 
NaN NaN NaN 1645968144.006 NaN NaN NaN 3.16122 0.00838 3.3032 
NaN NaN NaN 1645968205.006 NaN NaN NaN 3.16123 0.01951 3.3016 
0.000250056 1.0848 0.1679 1645968245.006 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1645968251.006 33.423 366.484 87.975 NaN NaN NaN 
NaN NaN NaN 1645968266.006 NaN NaN NaN 3.16364 0.49091 3.3218 
NaN NaN NaN 1645968327.006 NaN NaN NaN 3.16408 1.07219 3.3222 
NaN NaN NaN 1645968372.006 33.424 366.181 87.939 NaN NaN NaN 
NaN NaN NaN 1645968388.006 NaN NaN NaN 3.16491 1.5957 3.3276 
NaN NaN NaN 1645968449.006 NaN NaN NaN 3.16535 2.12399 3.3302 
NaN NaN NaN 1645968493.006 33.431 365.987 87.894 NaN NaN NaN 
NaN NaN NaN 1645968510.006 NaN NaN NaN 3.16545 2.63482 3.3297 
0.00016308 0.9944 0.2409 1645968546.006 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1645968571.006 NaN NaN NaN 3.1661 3.2547 3.3326 
NaN NaN NaN 1645968614.006 33.439 365.681 87.831 NaN NaN NaN 
NaN NaN NaN 1645968632.006 NaN NaN NaN 3.16672 3.76394 3.3385 
NaN NaN NaN 1645968693.006 NaN NaN NaN 3.16673 4.39952 3.3352 
NaN NaN NaN 1645968735.006 33.445 365.512 87.788 NaN NaN NaN 
NaN NaN NaN 1645968754.006 NaN NaN NaN 3.16749 5.04151 3.3379 
NaN NaN NaN 1645968815.006 NaN NaN NaN 3.16775 5.54499 3.3397 
0.000159456 0.9944 0.219 1645968847.006 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1645968856.006 33.453 365.29 87.73 NaN NaN NaN 
