dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-170
the8x3_filename: 00510170
filename_extension: sbd
filename_label: sunfish-2022-020-0-170-sbd(00510170)
mission_name: regm20.mi
fileopen_time: Tue_Mar__1_12:06:22_2022
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-170
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0884532 0.0316371 NaN NaN NaN NaN NaN NaN 1646136412.182 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1646136429.041 -0.00436556 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1646136449.32 NaN NaN NaN NaN NaN NaN NaN 3 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5351.83180016825 -5049.44469999929 NaN 1646136509.361 NaN NaN NaN NaN 8.26072 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 6.13361 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1646136521.373 0.613361 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0557838 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1646136533.384 NaN NaN 0.0785398 NaN NaN NaN NaN NaN 
NaN -305 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -297.244 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1646136609.462 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 16.5891 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1646136639.468 1.65891 NaN 0.0436332 NaN NaN NaN NaN NaN 
NaN NaN NaN 4.19141 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1646136669.475 NaN NaN NaN NaN NaN NaN NaN NaN 
-0.42209 NaN -0.120821 NaN NaN NaN NaN NaN NaN NaN 14.6437 -0.396907 NaN NaN -0.144742 NaN NaN NaN NaN NaN NaN NaN NaN 1646136729.486 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 29.0309 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1646136759.493 2.90309 NaN 0.0418879 NaN NaN 0.0884532 0.0316371 NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4.38252 NaN NaN -0.349066 1646136789.499 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.100954 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1646136849.51 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 41.5164 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1646136879.516 4.15164 NaN 0.0541052 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 53.238 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1646136999.54 5.3238 NaN 0.0628319 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1646137059.551 NaN NaN NaN NaN NaN NaN NaN 0 
NaN NaN NaN 4.19184 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1646137089.557 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 66.1163 NaN NaN NaN NaN NaN NaN NaN 5351.78032284851 -5049.5078513384 NaN 1646137119.563 6.61163 NaN 0.0593412 NaN 7.8949 NaN NaN NaN 
-0.42209 NaN 0.127884 NaN NaN NaN NaN NaN NaN NaN 14.6444 -0.396907 NaN NaN 0.153427 NaN NaN NaN NaN NaN NaN NaN NaN 1646137149.57 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.104902 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1646137179.576 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.65472 NaN NaN -0.301942 1646137209.581 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN -305 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 78.6891 -297.606 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1646137239.586 7.86891 NaN 0.0628319 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 88.6863 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1646137359.61 8.86863 NaN 0.0541052 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0861717 NaN NaN 98.7707 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1646137479.633 9.87707 NaN 0.0488692 NaN NaN NaN NaN NaN 
NaN NaN NaN 4.19326 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1646137509.64 NaN NaN NaN NaN NaN NaN NaN NaN 
