dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-176
the8x3_filename: 00510176
filename_extension: tbd
filename_label: sunfish-2022-020-0-176-tbd(00510176)
mission_name: regm20.mi
fileopen_time: Thu_Mar__3_22:53:49_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-176
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1646348083.002 NaN NaN NaN 3.16021 0.01607 3.1647 
0.0012539 1.1752 0.1752 1646348086.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1646348091.002 33.731 360.373 86.099 NaN NaN NaN 
NaN NaN NaN 1646348144.003 NaN NaN NaN 3.16252 0.3043 3.1898 
NaN NaN NaN 1646348205.003 NaN NaN NaN 3.16324 0.82249 3.1891 
NaN NaN NaN 1646348212.003 33.729 359.699 86.043 NaN NaN NaN 
NaN NaN NaN 1646348266.003 NaN NaN NaN 3.16338 1.43833 3.1865 
NaN NaN NaN 1646348327.003 NaN NaN NaN 3.16366 2.09186 3.1859 
NaN NaN NaN 1646348333.003 33.733 359.615 86.019 NaN NaN NaN 
0.000161268 0.9944 0.1533 1646348387.003 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1646348388.003 NaN NaN NaN 3.16418 2.53011 3.1894 
NaN NaN NaN 1646348449.003 NaN NaN NaN 3.16441 3.08538 3.1903 
NaN NaN NaN 1646348454.003 33.741 359.298 85.956 NaN NaN NaN 
NaN NaN NaN 1646348510.003 NaN NaN NaN 3.1645 3.5519 3.1904 
NaN NaN NaN 1646348571.003 NaN NaN NaN 3.16658 4.07583 3.206 
NaN NaN NaN 1646348575.003 33.746 358.984 85.906 NaN NaN NaN 
NaN NaN NaN 1646348632.003 NaN NaN NaN 3.16711 4.56241 3.209 
0.000168516 0.9944 0.1533 1646348688.003 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1646348693.003 NaN NaN NaN 3.16728 5.04075 3.2096 
NaN NaN NaN 1646348696.003 33.755 358.617 85.833 NaN NaN NaN 
NaN NaN NaN 1646348754.003 NaN NaN NaN 3.16718 5.60282 3.2048 
NaN NaN NaN 1646348815.003 NaN NaN NaN 3.16755 6.39838 3.2051 
