dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-2
the8x3_filename: 00510002
filename_extension: tbd
filename_label: sunfish-2022-020-0-2-tbd(00510002)
mission_name: regm20.mi
fileopen_time: Fri_Jan_21_23:29:52_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-2
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
0.000396828 1.0848 0.2482 1642807842 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1642807846 33.117 355.727 88.186 NaN NaN NaN 
NaN NaN NaN 1642807850 NaN NaN NaN 3.26569 0.02201 4.5775 
NaN NaN NaN 1642807911 NaN NaN NaN 3.27012 0.5092 4.6098 
NaN NaN NaN 1642807967 33.118 354.829 88.087 NaN NaN NaN 
NaN NaN NaN 1642807972 NaN NaN NaN 3.27206 1.34741 4.6156 
NaN NaN NaN 1642808033 NaN NaN NaN 3.27292 2.18573 4.616 
NaN NaN NaN 1642808088 33.116 354.553 88.067 NaN NaN NaN 
NaN NaN NaN 1642808094 NaN NaN NaN 3.27484 2.78341 4.632 
0.0001812 0.9944 0.2482 1642808143 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1642808155 NaN NaN NaN 3.27524 3.31764 4.6348 
NaN NaN NaN 1642808209 33.12 354.205 88.015 NaN NaN NaN 
NaN NaN NaN 1642808216 NaN NaN NaN 3.27549 3.72097 4.6353 
NaN NaN NaN 1642808277 NaN NaN NaN 3.27573 4.1794 4.6348 
NaN NaN NaN 1642808330 33.133 353.931 87.935 NaN NaN NaN 
NaN NaN NaN 1642808337 NaN NaN NaN 3.27533 4.62218 4.6274 
NaN NaN NaN 1642808398 NaN NaN NaN 3.27578 5.07763 4.6316 
0.000179388 0.9944 0.2336 1642808444 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1642808451 33.133 353.821 87.922 NaN NaN NaN 
NaN NaN NaN 1642808459 NaN NaN NaN 3.27589 5.8648 4.6297 
NaN NaN NaN 1642808520 NaN NaN NaN 3.27672 6.65659 4.6369 
NaN NaN NaN 1642808572 33.142 353.697 87.874 NaN NaN NaN 
NaN NaN NaN 1642808581 NaN NaN NaN 3.27682 7.42122 4.633 
