dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-21
the8x3_filename: 00510021
filename_extension: tbd
filename_label: sunfish-2022-020-0-21-tbd(00510021)
mission_name: regm20.mi
fileopen_time: Tue_Jan_25_16:54:22_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-21
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
0 0 0 1643129671.735 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1643129717.735 33.45 373.09 88.496 NaN NaN NaN 
NaN NaN NaN 1643129721.735 NaN NaN NaN 3.12228 0.01389 2.8917 
NaN NaN NaN 1643129782.735 NaN NaN NaN 3.12359 0.36848 2.9012 
NaN NaN NaN 1643129838.735 33.454 372.469 88.418 NaN NaN NaN 
NaN NaN NaN 1643129843.735 NaN NaN NaN 3.1251 1.14793 2.9115 
NaN NaN NaN 1643129904.735 NaN NaN NaN 3.12671 1.80234 2.9231 
NaN NaN NaN 1643129959.735 33.462 371.95 88.337 NaN NaN NaN 
NaN NaN NaN 1643129965.735 NaN NaN NaN 3.12663 2.48236 2.918 
0.0001812 0.9944 0.2555 1643129970.735 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1643130026.735 NaN NaN NaN 3.13083 3.1622 2.949 
NaN NaN NaN 1643130080.735 33.468 371.329 88.25 NaN NaN NaN 
NaN NaN NaN 1643130087.735 NaN NaN NaN 3.13062 3.89273 2.9505 
NaN NaN NaN 1643130148.735 NaN NaN NaN 3.12996 4.59153 2.943 
NaN NaN NaN 1643130201.735 33.483 370.573 88.114 NaN NaN NaN 
NaN NaN NaN 1643130209.735 NaN NaN NaN 3.13166 5.26947 2.9554 
NaN NaN NaN 1643130270.735 NaN NaN NaN 3.13342 6.00656 2.9693 
0.000183012 0.9944 0.2336 1643130271.735 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1643130322.735 33.487 370.35 88.078 NaN NaN NaN 
NaN NaN NaN 1643130331.735 NaN NaN NaN 3.13357 6.73257 2.9679 
NaN NaN NaN 1643130392.735 NaN NaN NaN 3.13489 7.49333 2.9791 
NaN NaN NaN 1643130443.735 33.494 369.896 88.002 NaN NaN NaN 
