dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-210
the8x3_filename: 00510210
filename_extension: sbd
filename_label: sunfish-2022-020-0-210-sbd(00510210)
mission_name: regm20.mi
fileopen_time: Sat_Mar_12_02:05:04_2022
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-210
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
0.9 NaN 0 NaN NaN NaN NaN NaN NaN NaN 14.5841 0.922119 NaN NaN -0.0521072 NaN NaN NaN NaN NaN NaN NaN NaN 1647050698.072 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.118968 0.0843983 NaN NaN NaN NaN NaN NaN 1647050742.149 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 3.67387 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1647050750 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN -280 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.319218 -261.571 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1647050770.103 0.0319218 NaN NaN NaN NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5357.93650016983 -5037.03099999844 NaN 1647050802.125 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1647050822.142 NaN NaN NaN NaN NaN -0.118968 0.0843983 NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN 0.10088 NaN NaN NaN NaN NaN NaN NaN NaN NaN 5.31278 NaN NaN -0.577704 1647050826.15 NaN NaN 0.0872665 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 16.5802 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1647050864.164 1.65802 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1647050924.175 NaN NaN 0.0610865 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 29.8946 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1647050984.187 2.98946 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1647051044.198 NaN NaN 0.0680678 NaN NaN NaN NaN NaN 
-0.245671 NaN -0.137364 NaN NaN NaN NaN NaN NaN NaN 14.5547 -0.180037 38.3198 NaN -0.191059 NaN NaN NaN NaN NaN NaN NaN NaN 1647051104.208 3.83198 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0814918 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1647051134.214 NaN NaN 0.0663225 NaN NaN NaN NaN NaN 
NaN NaN NaN 3.66146 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1647051164.219 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 44.9552 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1647051224.231 4.49552 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.35976 NaN NaN -0.315905 1647051254.238 NaN NaN 0.0575959 NaN 7.92438 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 54.9519 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1647051344.254 5.49519 NaN NaN NaN NaN NaN NaN NaN 
NaN -280 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -267.509 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1647051374.261 NaN NaN 0.0593412 NaN NaN NaN NaN 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5357.89835777121 -5037.08814350932 NaN 1647051404.267 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.11286 NaN NaN 69.4668 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1647051464.279 6.94668 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1647051494.285 NaN NaN 0.0750492 NaN NaN NaN NaN NaN 
-0.201627 NaN 0.121666 NaN NaN NaN NaN NaN NaN NaN 14.6014 -0.293327 NaN NaN 0.0984246 NaN NaN NaN NaN NaN NaN NaN NaN 1647051524.291 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 3.66594 NaN NaN NaN NaN NaN NaN NaN NaN 80.9259 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1647051584.301 8.09259 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1647051614.307 NaN NaN 0.0593412 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.30914 NaN NaN -0.333358 1647051674.318 NaN NaN NaN NaN NaN NaN NaN NaN 
