dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-26
the8x3_filename: 00510026
filename_extension: tbd
filename_label: sunfish-2022-020-0-26-tbd(00510026)
mission_name: regm20.mi
fileopen_time: Wed_Jan_26_14:34:54_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-26
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1643207732.205 0 0 0 NaN NaN NaN 
NaN NaN NaN 1643207753 NaN NaN NaN 3.0861 0.0177 2.7771 
NaN NaN NaN 1643207814 NaN NaN NaN 3.08812 0.31833 2.7447 
NaN NaN NaN 1643207853 33.523 373.23 88.198 NaN NaN NaN 
NaN NaN NaN 1643207875 NaN NaN NaN 3.09601 0.81967 2.7323 
0.0003624 1.1752 0.2555 1643207912 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1643207936 NaN NaN NaN 3.1027 1.21276 2.7532 
NaN NaN NaN 1643207974 33.522 372.727 88.155 NaN NaN NaN 
NaN NaN NaN 1643207997 NaN NaN NaN 3.11012 2.02406 2.7911 
NaN NaN NaN 1643208058 NaN NaN NaN 3.11309 2.9173 2.7976 
NaN NaN NaN 1643208095 33.527 372.319 88.093 NaN NaN NaN 
NaN NaN NaN 1643208119 NaN NaN NaN 3.11161 3.79498 2.7681 
NaN NaN NaN 1643208180 NaN NaN NaN 3.11251 4.54156 2.7718 
0.000197508 0.9944 0.2336 1643208213 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1643208216 33.533 372.314 88.07 NaN NaN NaN 
NaN NaN NaN 1643208241 NaN NaN NaN 3.11622 5.09399 2.7938 
NaN NaN NaN 1643208302 NaN NaN NaN 3.12526 5.6108 2.8812 
NaN NaN NaN 1643208337 33.521 370.601 87.958 NaN NaN NaN 
NaN NaN NaN 1643208363 NaN NaN NaN 3.12171 6.13419 2.8522 
NaN NaN NaN 1643208424 NaN NaN NaN 3.12321 6.6756 2.8622 
NaN NaN NaN 1643208458 33.537 370.666 87.897 NaN NaN NaN 
NaN NaN NaN 1643208485 NaN NaN NaN 3.12256 7.22203 2.853 
0.000184824 0.9944 0.2263 1643208514 NaN NaN NaN NaN NaN NaN 
