dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-3
the8x3_filename: 00510003
filename_extension: tbd
filename_label: sunfish-2022-020-0-3-tbd(00510003)
mission_name: regm20.mi
fileopen_time: Sat_Jan_22_09:19:42_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-3
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1642843237.125 33.123 357.182 88.306 NaN NaN NaN 
NaN NaN NaN 1642843241.125 NaN NaN NaN 3.25622 0.02722 4.4621 
NaN NaN NaN 1642843302.125 NaN NaN NaN 3.2587 0.23218 4.4845 
NaN NaN NaN 1642843358.125 33.126 356.302 88.205 NaN NaN NaN 
NaN NaN NaN 1642843363.125 NaN NaN NaN 3.26153 1.26961 4.5003 
NaN NaN NaN 1642843424.125 NaN NaN NaN 3.26329 2.15227 4.5089 
0.0001812 0.9944 0.2409 1642843432.125 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1642843479.125 33.127 355.997 88.169 NaN NaN NaN 
NaN NaN NaN 1642843485.125 NaN NaN NaN 3.26404 3.03648 4.5102 
NaN NaN NaN 1642843546.125 NaN NaN NaN 3.26504 3.84926 4.5171 
NaN NaN NaN 1642843600.125 33.132 355.774 88.126 NaN NaN NaN 
NaN NaN NaN 1642843607.125 NaN NaN NaN 3.26562 4.5358 4.5219 
NaN NaN NaN 1642843668.125 NaN NaN NaN 3.26549 5.38112 4.5143 
NaN NaN NaN 1642843721.125 33.133 355.669 88.11 NaN NaN NaN 
NaN NaN NaN 1642843729.125 NaN NaN NaN 3.26651 6.05283 4.5232 
0.000183012 0.9944 0.2555 1642843733.125 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1642843790.125 NaN NaN NaN 3.26722 6.68985 4.529 
NaN NaN NaN 1642843842.125 33.138 355.378 88.059 NaN NaN NaN 
NaN NaN NaN 1642843851.125 NaN NaN NaN 3.26706 7.38748 4.5231 
NaN NaN NaN 1642843912.125 NaN NaN NaN 3.26714 8.12353 4.5219 
NaN NaN NaN 1642843963.125 33.153 355.087 87.968 NaN NaN NaN 
NaN NaN NaN 1642843973.125 NaN NaN NaN 3.26683 8.86577 4.5166 
