dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-51
the8x3_filename: 00510051
filename_extension: tbd
filename_label: sunfish-2022-020-0-51-tbd(00510051)
mission_name: regm20.mi
fileopen_time: Mon_Jan_31_21:17:13_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-51
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1643663838.605 NaN NaN NaN 3.24244 0.0265 4.2659 
NaN NaN NaN 1643663898.009 33.151 359.57 88.432 NaN NaN NaN 
NaN NaN NaN 1643663899.009 NaN NaN NaN 3.24177 0.05456 4.2646 
0.000242808 1.0848 0.2482 1643663952.009 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1643663960.009 NaN NaN NaN 3.24366 0.56154 4.2704 
NaN NaN NaN 1643664019.009 33.175 358.441 88.219 NaN NaN NaN 
NaN NaN NaN 1643664021.009 NaN NaN NaN 3.24344 1.07832 4.2654 
NaN NaN NaN 1643664082.009 NaN NaN NaN 3.24375 1.77153 4.2633 
NaN NaN NaN 1643664140.009 33.183 358.147 88.157 NaN NaN NaN 
NaN NaN NaN 1643664143.009 NaN NaN NaN 3.24455 2.66268 4.2657 
NaN NaN NaN 1643664204.009 NaN NaN NaN 3.24507 3.4809 4.2686 
0.000177576 0.9944 0.2336 1643664253.009 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1643664261.009 33.188 358.014 88.121 NaN NaN NaN 
NaN NaN NaN 1643664265.009 NaN NaN NaN 3.24533 4.08795 4.2693 
NaN NaN NaN 1643664326.009 NaN NaN NaN 3.24595 4.65654 4.2739 
NaN NaN NaN 1643664382.009 33.19 357.868 88.099 NaN NaN NaN 
NaN NaN NaN 1643664387.009 NaN NaN NaN 3.24648 5.24448 4.2765 
NaN NaN NaN 1643664448.009 NaN NaN NaN 3.24678 5.75666 4.2776 
NaN NaN NaN 1643664503.009 33.196 357.713 88.058 NaN NaN NaN 
NaN NaN NaN 1643664509.009 NaN NaN NaN 3.24629 6.336 4.2699 
0.0001812 0.9944 0.2628 1643664554.009 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1643664570.009 NaN NaN NaN 3.24674 7.09903 4.2702 
