dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-65
the8x3_filename: 00510065
filename_extension: tbd
filename_label: sunfish-2022-020-0-65-tbd(00510065)
mission_name: regm20.mi
fileopen_time: Thu_Feb__3_12:20:24_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-65
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1643890857.846 33.358 371.351 88.718 NaN NaN NaN 
NaN NaN NaN 1643890858.846 NaN NaN NaN 3.14818 0.02809 3.1716 
NaN NaN NaN 1643890919.015 NaN NaN NaN 3.14852 0.18261 3.1766 
NaN NaN NaN 1643890978.015 33.362 370.66 88.638 NaN NaN NaN 
NaN NaN NaN 1643890980.015 NaN NaN NaN 3.14934 1.05365 3.1764 
0.000186636 0.9944 0.2628 1643891037.015 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1643891041.015 NaN NaN NaN 3.15002 1.76651 3.1825 
NaN NaN NaN 1643891099.015 33.373 370.262 88.55 NaN NaN NaN 
NaN NaN NaN 1643891102.015 NaN NaN NaN 3.15053 2.4494 3.183 
NaN NaN NaN 1643891163.015 NaN NaN NaN 3.15034 3.02577 3.1809 
NaN NaN NaN 1643891220.015 33.38 370.083 88.505 NaN NaN NaN 
NaN NaN NaN 1643891224.015 NaN NaN NaN 3.15063 3.60562 3.1801 
NaN NaN NaN 1643891285.015 NaN NaN NaN 3.15142 4.3106 3.1842 
0.000195696 0.9944 0.2628 1643891338.015 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1643891341.015 33.384 370.01 88.481 NaN NaN NaN 
NaN NaN NaN 1643891346.015 NaN NaN NaN 3.15129 5.09294 3.1782 
NaN NaN NaN 1643891407.015 NaN NaN NaN 3.1516 5.81149 3.1808 
NaN NaN NaN 1643891462.015 33.391 369.73 88.423 NaN NaN NaN 
NaN NaN NaN 1643891468.015 NaN NaN NaN 3.15204 6.61159 3.1799 
NaN NaN NaN 1643891529.015 NaN NaN NaN 3.1539 7.54956 3.1943 
NaN NaN NaN 1643891583.015 33.401 369.177 88.327 NaN NaN NaN 
NaN NaN NaN 1643891590.015 NaN NaN NaN 3.15485 8.17211 3.2031 
