dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-71
the8x3_filename: 00510071
filename_extension: tbd
filename_label: sunfish-2022-020-0-71-tbd(00510071)
mission_name: regm20.mi
fileopen_time: Fri_Feb__4_20:02:01_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-71
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1644004930.306 NaN NaN NaN 3.14637 0.03817 3.1295 
0.000773724 1.0848 0.2482 1644004964.306 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1644004989.306 33.457 368.831 88.059 NaN NaN NaN 
NaN NaN NaN 1644004990.306 NaN NaN NaN 3.14631 0.04248 3.1308 
NaN NaN NaN 1644005051.306 NaN NaN NaN 3.1476 0.39497 3.1364 
NaN NaN NaN 1644005110.306 33.458 368.303 88.001 NaN NaN NaN 
NaN NaN NaN 1644005112.306 NaN NaN NaN 3.14955 1.08616 3.1489 
NaN NaN NaN 1644005173.306 NaN NaN NaN 3.15076 1.65512 3.1564 
NaN NaN NaN 1644005231.306 33.464 368.03 87.951 NaN NaN NaN 
NaN NaN NaN 1644005234.306 NaN NaN NaN 3.1506 2.29145 3.1519 
0.000179388 0.9944 0.2555 1644005264.306 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1644005295.306 NaN NaN NaN 3.15154 3.07405 3.1547 
NaN NaN NaN 1644005352.306 33.468 367.877 87.918 NaN NaN NaN 
NaN NaN NaN 1644005356.306 NaN NaN NaN 3.15179 3.80063 3.1531 
NaN NaN NaN 1644005417.306 NaN NaN NaN 3.15278 4.56451 3.1657 
NaN NaN NaN 1644005473.306 33.472 367.458 87.862 NaN NaN NaN 
NaN NaN NaN 1644005478.306 NaN NaN NaN 3.15409 5.30481 3.1741 
NaN NaN NaN 1644005539.306 NaN NaN NaN 3.15422 5.99525 3.1738 
0.0001812 0.9944 0.2336 1644005565.306 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1644005594.306 33.478 367.256 87.817 NaN NaN NaN 
NaN NaN NaN 1644005600.306 NaN NaN NaN 3.15467 6.75399 3.1728 
NaN NaN NaN 1644005661.306 NaN NaN NaN 3.15482 7.48296 3.1737 
