dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-96
the8x3_filename: 00510096
filename_extension: tbd
filename_label: sunfish-2022-020-0-96-tbd(00510096)
mission_name: regm20.mi
fileopen_time: Tue_Feb__8_19:47:32_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-96
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1644349670.093 NaN NaN NaN 3.19297 0.03528 3.633 
NaN NaN NaN 1644349728.093 33.458 360.635 87.255 NaN NaN NaN 
NaN NaN NaN 1644349729.093 NaN NaN NaN 3.19399 0.05699 3.6445 
NaN NaN NaN 1644349790.093 NaN NaN NaN 3.19674 0.65469 3.6686 
NaN NaN NaN 1644349849.093 33.455 359.845 87.191 NaN NaN NaN 
NaN NaN NaN 1644349851.093 NaN NaN NaN 3.19754 1.43671 3.6754 
0.000177576 0.9944 0.2847 1644349908.093 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1644349912.093 NaN NaN NaN 3.19841 2.17722 3.6804 
NaN NaN NaN 1644349970.093 33.464 359.352 87.106 NaN NaN NaN 
NaN NaN NaN 1644349973.093 NaN NaN NaN 3.19939 2.75393 3.69 
NaN NaN NaN 1644350034.093 NaN NaN NaN 3.19984 3.4079 3.6913 
NaN NaN NaN 1644350091.093 33.471 359.042 87.044 NaN NaN NaN 
NaN NaN NaN 1644350095.093 NaN NaN NaN 3.20086 4.1285 3.6979 
NaN NaN NaN 1644350155.093 NaN NaN NaN 3.20086 4.77644 3.695 
0.000173952 0.9944 0.2774 1644350209.093 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1644350212.093 33.484 358.656 86.951 NaN NaN NaN 
NaN NaN NaN 1644350216.093 NaN NaN NaN 3.20114 5.50343 3.6954 
NaN NaN NaN 1644350277.093 NaN NaN NaN 3.20183 6.21659 3.6997 
NaN NaN NaN 1644350333.093 33.489 358.486 86.916 NaN NaN NaN 
NaN NaN NaN 1644350338.093 NaN NaN NaN 3.20218 6.92282 3.6997 
NaN NaN NaN 1644350399.093 NaN NaN NaN 3.20259 7.6154 3.701 
NaN NaN NaN 1644350454.093 33.497 358.173 86.853 NaN NaN NaN 
