dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-020-0-98
the8x3_filename: 00510098
filename_extension: tbd
filename_label: sunfish-2022-020-0-98-tbd(00510098)
mission_name: regm20.mi
fileopen_time: Wed_Feb__9_05:53:45_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-020-0-98
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1644386054.889 NaN NaN NaN 3.19563 0.03234 3.6573 
NaN NaN NaN 1644386115.014 33.504 358.828 86.889 NaN NaN NaN 
NaN NaN NaN 1644386116.014 NaN NaN NaN 3.19559 0.18488 3.6596 
0.000170328 1.0848 0.2628 1644386168.014 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1644386177.014 NaN NaN NaN 3.19859 0.88107 3.6878 
NaN NaN NaN 1644386236.014 33.506 358.262 86.822 NaN NaN NaN 
NaN NaN NaN 1644386238.014 NaN NaN NaN 3.19807 1.61338 3.6803 
NaN NaN NaN 1644386299.014 NaN NaN NaN 3.19781 2.38361 3.6739 
NaN NaN NaN 1644386357.014 33.509 358.197 86.803 NaN NaN NaN 
NaN NaN NaN 1644386360.014 NaN NaN NaN 3.198 2.98164 3.6722 
NaN NaN NaN 1644386421.014 NaN NaN NaN 3.19849 3.56463 3.6741 
0.000177576 0.9944 0.2628 1644386469.014 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1644386478.014 33.513 358.088 86.777 NaN NaN NaN 
NaN NaN NaN 1644386482.014 NaN NaN NaN 3.19887 4.14259 3.6755 
NaN NaN NaN 1644386543.014 NaN NaN NaN 3.19976 4.70345 3.6824 
NaN NaN NaN 1644386599.014 33.531 357.188 86.615 NaN NaN NaN 
NaN NaN NaN 1644386604.014 NaN NaN NaN 3.20138 5.24788 3.6944 
NaN NaN NaN 1644386665.014 NaN NaN NaN 3.20587 5.81206 3.7311 
NaN NaN NaN 1644386720.014 33.587 354.93 86.159 NaN NaN NaN 
NaN NaN NaN 1644386726.014 NaN NaN NaN 3.20698 6.41582 3.7388 
0.000177576 0.9944 0.2263 1644386770.014 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1644386787.014 NaN NaN NaN 3.18561 7.03497 3.4888 
