dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-071-1-10
the8x3_filename: 00530010
filename_extension: tbd
filename_label: sunfish-2022-071-1-10-tbd(00530010)
mission_name: regm20.mi
fileopen_time: Wed_Mar_16_19:36:09_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-071-1-10
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1647459430.005 NaN NaN NaN 3.15714 0.03891 3.2167 
NaN NaN NaN 1647459468.005 33.702 359.986 86.183 NaN NaN NaN 
NaN NaN NaN 1647459491.005 NaN NaN NaN 3.1635 0.50942 3.2706 
NaN NaN NaN 1647459552.005 NaN NaN NaN 3.16392 1.16332 3.2559 
NaN NaN NaN 1647459589.005 33.704 359.323 86.112 NaN NaN NaN 
NaN NaN NaN 1647459613.005 NaN NaN NaN 3.16507 1.86501 3.2566 
0.000177576 0.9944 0.2701 1647459650.005 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1647459674.005 NaN NaN NaN 3.1665 2.48664 3.2683 
NaN NaN NaN 1647459710.005 33.715 358.555 85.99 NaN NaN NaN 
NaN NaN NaN 1647459735.005 NaN NaN NaN 3.1744 3.07809 3.3392 
NaN NaN NaN 1647459796.005 NaN NaN NaN 3.17286 3.68561 3.3216 
NaN NaN NaN 1647459831.005 33.774 356.202 85.522 NaN NaN NaN 
NaN NaN NaN 1647459857.005 NaN NaN NaN 3.17171 4.39998 3.3087 
NaN NaN NaN 1647459918.005 NaN NaN NaN 3.1704 5.02826 3.3018 
0.000159456 1.0848 0.219 1647459951.005 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1647459952.005 33.761 356.453 85.596 NaN NaN NaN 
NaN NaN NaN 1647459979.005 NaN NaN NaN 3.17742 5.59132 3.3581 
NaN NaN NaN 1647460040.005 NaN NaN NaN 3.17523 6.14561 3.3259 
NaN NaN NaN 1647460073.005 33.808 355.072 85.271 NaN NaN NaN 
NaN NaN NaN 1647460101.005 NaN NaN NaN 3.17504 6.73632 3.3269 
NaN NaN NaN 1647460162.005 NaN NaN NaN 3.17245 7.37349 3.2984 
NaN NaN NaN 1647460194.005 33.795 355.753 85.389 NaN NaN NaN 
