dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-075-0-0
the8x3_filename: 00540000
filename_extension: tbd
filename_label: sunfish-2022-075-0-0-tbd(00540000)
mission_name: regm20.mi
fileopen_time: Thu_Mar_17_18:57:53_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-075-0-0
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1647543474.455 33.729 361.862 86.251 0 0 0 
0.000520044 -0.452 -0.0365 1647543506.455 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1647543555.455 NaN NaN NaN 3.14999 0.01988 3.0713 
NaN NaN NaN 1647543594.455 33.729 361.734 86.24 NaN NaN NaN 
NaN NaN NaN 1647543616.455 NaN NaN NaN 3.1507 0.02111 3.0774 
NaN NaN NaN 1647543677.455 NaN NaN NaN 3.15145 0.05293 3.0844 
NaN NaN NaN 1647543715.456 33.723 361.295 86.222 NaN NaN NaN 
NaN NaN NaN 1647543738.456 NaN NaN NaN 3.15171 0.47115 3.08 
NaN NaN NaN 1647543799.456 NaN NaN NaN 3.15341 1.28763 3.0863 
0.00019026 0.9944 0.1314 1647543806.456 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1647543836.456 33.722 361.386 86.233 NaN NaN NaN 
NaN NaN NaN 1647543860.456 NaN NaN NaN 3.15355 2.00024 3.0853 
NaN NaN NaN 1647543921.456 NaN NaN NaN 3.15442 2.78606 3.0884 
NaN NaN NaN 1647543957.456 33.735 361.017 86.146 NaN NaN NaN 
NaN NaN NaN 1647543982.456 NaN NaN NaN 3.1549 3.5263 3.0904 
NaN NaN NaN 1647544043.456 NaN NaN NaN 3.15525 4.16508 3.0923 
NaN NaN NaN 1647544078.456 33.751 360.545 86.033 NaN NaN NaN 
NaN NaN NaN 1647544104.456 NaN NaN NaN 3.15605 4.71514 3.095 
0.000170328 0.9944 0.2482 1647544107.456 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1647544165.456 NaN NaN NaN 3.15729 5.32337 3.1055 
NaN NaN NaN 1647544199.456 33.761 360.063 85.947 NaN NaN NaN 
NaN NaN NaN 1647544226.456 NaN NaN NaN 3.15764 5.91796 3.1063 
