dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-075-0-1
the8x3_filename: 00540001
filename_extension: tbd
filename_label: sunfish-2022-075-0-1-tbd(00540001)
mission_name: regm20.mi
fileopen_time: Fri_Mar_18_06:21:13_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-075-0-1
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1647584535.002 NaN NaN NaN 3.15326 0.01492 3.0807 
NaN NaN NaN 1647584540.002 33.785 360.223 85.865 NaN NaN NaN 
NaN NaN NaN 1647584596.002 NaN NaN NaN 3.15365 0.23624 3.0837 
NaN NaN NaN 1647584657.002 NaN NaN NaN 3.15518 0.96428 3.0957 
NaN NaN NaN 1647584661.002 33.783 359.719 85.822 NaN NaN NaN 
0.000155832 0.9944 0.2044 1647584714.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1647584718.002 NaN NaN NaN 3.15679 1.63238 3.1109 
NaN NaN NaN 1647584779.002 NaN NaN NaN 3.15699 2.25256 3.1097 
NaN NaN NaN 1647584782.002 33.789 359.273 85.757 NaN NaN NaN 
NaN NaN NaN 1647584840.002 NaN NaN NaN 3.15759 2.96654 3.1127 
NaN NaN NaN 1647584901.006 NaN NaN NaN 3.15866 3.68026 3.1181 
NaN NaN NaN 1647584903.006 33.804 358.664 85.635 NaN NaN NaN 
NaN NaN NaN 1647584962.006 NaN NaN NaN 3.15952 4.27538 3.1253 
0.000164892 0.9944 0.2044 1647585015.006 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1647585023.006 NaN NaN NaN 3.16048 4.82266 3.1302 
NaN NaN NaN 1647585024.006 33.817 358.093 85.53 NaN NaN NaN 
NaN NaN NaN 1647585084.006 NaN NaN NaN 3.16043 5.37816 3.128 
NaN NaN NaN 1647585145.006 33.824 357.866 85.479 3.15981 5.94923 3.1259 
NaN NaN NaN 1647585206.006 NaN NaN NaN 3.16025 6.55331 3.1233 
NaN NaN NaN 1647585266.006 33.827 357.94 85.474 NaN NaN NaN 
NaN NaN NaN 1647585267.006 NaN NaN NaN 3.16091 7.16613 3.1296 
0.000164892 0.9944 0.219 1647585316.006 NaN NaN NaN NaN NaN NaN 
