dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-077-0-108
the8x3_filename: 00550108
filename_extension: tbd
filename_label: sunfish-2022-077-0-108-tbd(00550108)
mission_name: regm20.mi
fileopen_time: Sat_Apr_16_03:12:51_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-077-0-108
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1650078829.002 33.287 370.864 88.977 NaN NaN NaN 
NaN NaN NaN 1650078833.002 NaN NaN NaN 3.16686 0.02159 3.3239 
0.000250056 0.9944 0.5402 1650078845.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1650078894.002 NaN NaN NaN 3.16904 0.27653 3.3461 
NaN NaN NaN 1650078950.002 33.309 369.759 88.775 NaN NaN NaN 
NaN NaN NaN 1650078955.002 NaN NaN NaN 3.16863 1.05896 3.3356 
NaN NaN NaN 1650079016.002 NaN NaN NaN 3.17043 1.68921 3.3541 
NaN NaN NaN 1650079071.002 33.303 369.25 88.752 NaN NaN NaN 
NaN NaN NaN 1650079077.002 NaN NaN NaN 3.17298 2.27345 3.3746 
NaN NaN NaN 1650079138.002 NaN NaN NaN 3.17001 2.88995 3.3445 
0.000219252 0.9944 0.4891 1650079146.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1650079192.002 33.313 369.357 88.717 NaN NaN NaN 
NaN NaN NaN 1650079199.002 NaN NaN NaN 3.17006 3.52101 3.3414 
NaN NaN NaN 1650079260.002 NaN NaN NaN 3.18028 4.13018 3.4297 
NaN NaN NaN 1650079313.002 33.368 366.261 88.186 NaN NaN NaN 
NaN NaN NaN 1650079321.002 NaN NaN NaN 3.18176 4.75208 3.4389 
NaN NaN NaN 1650079382.002 NaN NaN NaN 3.184 5.39914 3.4575 
NaN NaN NaN 1650079434.002 33.479 362.475 87.35 NaN NaN NaN 
NaN NaN NaN 1650079443.002 NaN NaN NaN 3.18528 6.0348 3.4673 
0.000186636 0.9944 0.2336 1650079447.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1650079504.002 NaN NaN NaN 3.18835 6.67255 3.4877 
NaN NaN NaN 1650079555.002 33.57 359.338 86.663 NaN NaN NaN 
