dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-077-0-112
the8x3_filename: 00550112
filename_extension: tbd
filename_label: sunfish-2022-077-0-112-tbd(00550112)
mission_name: regm20.mi
fileopen_time: Sun_Apr_17_01:55:43_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-077-0-112
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1650160605.002 33.419 366.475 87.991 NaN NaN NaN 
NaN NaN NaN 1650160609.002 NaN NaN NaN 3.16924 0.01816 3.3543 
0.000259116 0.9944 0.4453 1650160646.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1650160670.002 NaN NaN NaN 3.16973 0.20607 3.3582 
NaN NaN NaN 1650160726.002 33.423 366.019 87.929 NaN NaN NaN 
NaN NaN NaN 1650160731.002 NaN NaN NaN 3.1701 0.75054 3.3585 
NaN NaN NaN 1650160792.002 NaN NaN NaN 3.17047 1.36415 3.362 
NaN NaN NaN 1650160847.002 33.417 365.79 87.93 NaN NaN NaN 
NaN NaN NaN 1650160853.002 NaN NaN NaN 3.17113 1.87029 3.364 
NaN NaN NaN 1650160914.002 NaN NaN NaN 3.1713 2.45956 3.3645 
0.00020838 0.9944 0.4161 1650160947.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1650160968.002 33.427 365.255 87.838 NaN NaN NaN 
NaN NaN NaN 1650160975.002 NaN NaN NaN 3.17757 3.02758 3.4127 
NaN NaN NaN 1650161036.002 NaN NaN NaN 3.1828 3.52665 3.455 
NaN NaN NaN 1650161089.002 33.482 362.903 87.379 NaN NaN NaN 
NaN NaN NaN 1650161097.002 NaN NaN NaN 3.18202 3.98743 3.4459 
NaN NaN NaN 1650161158.002 NaN NaN NaN 3.18259 4.46472 3.4466 
NaN NaN NaN 1650161210.002 33.511 361.815 87.153 NaN NaN NaN 
NaN NaN NaN 1650161219.002 NaN NaN NaN 3.18238 4.95307 3.4445 
0.000210192 0.9944 0.438 1650161248.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1650161280.002 NaN NaN NaN 3.18036 5.47194 3.4173 
NaN NaN NaN 1650161331.002 33.491 362.891 87.341 NaN NaN NaN 
