dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-077-0-116
the8x3_filename: 00550116
filename_extension: tbd
filename_label: sunfish-2022-077-0-116-tbd(00550116)
mission_name: regm20.mi
fileopen_time: Mon_Apr_18_01:04:07_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-077-0-116
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1650243902.002 33.153 372.426 89.702 NaN NaN NaN 
NaN NaN NaN 1650243906.002 NaN NaN NaN 3.18081 0.02715 3.4715 
NaN NaN NaN 1650243967.002 NaN NaN NaN 3.18069 0.15788 3.4715 
NaN NaN NaN 1650244023.002 33.155 372.03 89.654 NaN NaN NaN 
NaN NaN NaN 1650244028.002 NaN NaN NaN 3.1814 0.79812 3.4738 
0.000242808 0.9944 0.5329 1650244059.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1650244089.002 NaN NaN NaN 3.18156 1.35552 3.4723 
NaN NaN NaN 1650244144.002 33.156 371.894 89.636 NaN NaN NaN 
NaN NaN NaN 1650244150.002 NaN NaN NaN 3.18141 1.8953 3.469 
NaN NaN NaN 1650244211.002 NaN NaN NaN 3.18064 2.43513 3.453 
NaN NaN NaN 1650244265.002 33.172 371.991 89.577 NaN NaN NaN 
NaN NaN NaN 1650244272.002 NaN NaN NaN 3.17525 2.93769 3.3926 
NaN NaN NaN 1650244333.002 NaN NaN NaN 3.17502 3.44981 3.387 
0.000239184 0.9944 0.5694 1650244360.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1650244386.002 33.21 371.588 89.376 NaN NaN NaN 
NaN NaN NaN 1650244394.002 NaN NaN NaN 3.17499 3.99125 3.383 
NaN NaN NaN 1650244455.002 NaN NaN NaN 3.17434 4.54086 3.3742 
NaN NaN NaN 1650244507.002 33.231 371.235 89.252 NaN NaN NaN 
NaN NaN NaN 1650244516.002 NaN NaN NaN 3.17391 5.09292 3.3679 
NaN NaN NaN 1650244577.002 NaN NaN NaN 3.17429 5.64164 3.368 
NaN NaN NaN 1650244628.002 33.242 371.043 89.186 NaN NaN NaN 
NaN NaN NaN 1650244638.002 NaN NaN NaN 3.17354 6.15254 3.3591 
