dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-077-0-124
the8x3_filename: 00550124
filename_extension: tbd
filename_label: sunfish-2022-077-0-124-tbd(00550124)
mission_name: regm20.mi
fileopen_time: Tue_Apr_19_10:51:58_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-077-0-124
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1650365571.049 33.281 368.667 88.786 NaN NaN NaN 
NaN NaN NaN 1650365575.049 NaN NaN NaN 3.16673 0.03474 3.4711 
NaN NaN NaN 1650365636.049 NaN NaN NaN 3.17501 0.69269 3.4855 
NaN NaN NaN 1650365692.049 33.29 367.73 88.659 NaN NaN NaN 
NaN NaN NaN 1650365697.049 NaN NaN NaN 3.1787 1.24153 3.487 
NaN NaN NaN 1650365758.049 NaN NaN NaN 3.18099 2.03989 3.4838 
0.00028086 1.0848 0.3285 1650365778.049 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1650365813.049 33.295 367.552 88.619 NaN NaN NaN 
NaN NaN NaN 1650365819.049 NaN NaN NaN 3.18289 2.98878 3.4868 
NaN NaN NaN 1650365880.049 NaN NaN NaN 3.18402 3.76025 3.4893 
NaN NaN NaN 1650365934.049 33.303 367.297 88.56 NaN NaN NaN 
NaN NaN NaN 1650365941.049 NaN NaN NaN 3.18422 4.31912 3.4866 
NaN NaN NaN 1650366002.049 NaN NaN NaN 3.18482 5.38973 3.4848 
NaN NaN NaN 1650366055.049 33.318 366.803 88.448 NaN NaN NaN 
NaN NaN NaN 1650366063.049 NaN NaN NaN 3.18551 6.28524 3.4895 
0.000188448 0.9944 0.3139 1650366079.049 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1650366124.049 NaN NaN NaN 3.18578 7.04386 3.4872 
NaN NaN NaN 1650366176.049 33.331 366.464 88.36 NaN NaN NaN 
NaN NaN NaN 1650366185.049 NaN NaN NaN 3.18623 7.80318 3.4894 
NaN NaN NaN 1650366246.049 NaN NaN NaN 3.18656 8.75112 3.4861 
NaN NaN NaN 1650366297.049 33.343 366.074 88.272 NaN NaN NaN 
NaN NaN NaN 1650366307.049 NaN NaN NaN 3.18704 9.63552 3.4889 
