dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-077-0-15
the8x3_filename: 00550015
filename_extension: tbd
filename_label: sunfish-2022-077-0-15-tbd(00550015)
mission_name: regm20.mi
fileopen_time: Sat_Mar_26_11:14:26_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-077-0-15
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1648293326.005 NaN NaN NaN 3.16347 0.01896 3.2185 
0.00029898 1.0848 0.1752 1648293359.005 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648293365.005 33.632 362.215 86.686 NaN NaN NaN 
NaN NaN NaN 1648293387.005 NaN NaN NaN 3.16401 0.31185 3.2209 
NaN NaN NaN 1648293448.005 NaN NaN NaN 3.1648 1.00354 3.2227 
NaN NaN NaN 1648293486.005 33.639 361.641 86.604 NaN NaN NaN 
NaN NaN NaN 1648293509.005 NaN NaN NaN 3.16516 1.43477 3.2242 
NaN NaN NaN 1648293570.005 NaN NaN NaN 3.16542 1.94143 3.2244 
NaN NaN NaN 1648293607.005 33.643 361.499 86.571 NaN NaN NaN 
NaN NaN NaN 1648293631.005 NaN NaN NaN 3.16549 2.41175 3.222 
0.00017214 0.9944 0.292 1648293660.005 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648293692.005 NaN NaN NaN 3.16548 2.7474 3.22 
NaN NaN NaN 1648293728.005 33.652 361.361 86.522 NaN NaN NaN 
NaN NaN NaN 1648293753.005 NaN NaN NaN 3.16576 3.09525 3.2219 
NaN NaN NaN 1648293814.005 NaN NaN NaN 3.16603 3.42109 3.2239 
NaN NaN NaN 1648293849.005 33.653 361.213 86.504 NaN NaN NaN 
NaN NaN NaN 1648293875.005 NaN NaN NaN 3.16613 3.7852 3.223 
NaN NaN NaN 1648293936.005 NaN NaN NaN 3.16643 4.15583 3.2235 
0.000164892 0.9944 0.2774 1648293961.005 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648293970.005 33.655 361.166 86.492 NaN NaN NaN 
NaN NaN NaN 1648293997.005 NaN NaN NaN 3.16671 4.54757 3.2255 
NaN NaN NaN 1648294058.005 NaN NaN NaN 3.16694 5.1508 3.226 
