dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-077-0-25
the8x3_filename: 00550025
filename_extension: tbd
filename_label: sunfish-2022-077-0-25-tbd(00550025)
mission_name: regm20.mi
fileopen_time: Mon_Mar_28_20:36:57_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-077-0-25
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1648499871.002 33.396 367.627 88.198 NaN NaN NaN 
NaN NaN NaN 1648499875.002 NaN NaN NaN 3.16948 0.01136 3.3227 
0.000224688 0.9944 0.365 1648499888.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648499936.002 NaN NaN NaN 3.16998 0.32353 3.3243 
NaN NaN NaN 1648499992.002 33.412 366.853 88.057 NaN NaN NaN 
NaN NaN NaN 1648499997.002 NaN NaN NaN 3.17023 0.90521 3.3237 
NaN NaN NaN 1648500058.002 NaN NaN NaN 3.17059 1.28746 3.3241 
NaN NaN NaN 1648500113.002 33.41 366.785 88.059 NaN NaN NaN 
NaN NaN NaN 1648500119.002 NaN NaN NaN 3.17084 1.80111 3.3256 
NaN NaN NaN 1648500180.002 NaN NaN NaN 3.17112 2.3512 3.3251 
0.000184824 0.9944 0.4015 1648500189.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648500234.002 33.417 366.611 88.014 NaN NaN NaN 
NaN NaN NaN 1648500241.002 NaN NaN NaN 3.17111 2.82883 3.3216 
NaN NaN NaN 1648500302.002 NaN NaN NaN 3.17139 3.28983 3.3222 
NaN NaN NaN 1648500355.002 33.432 366.081 87.897 NaN NaN NaN 
NaN NaN NaN 1648500363.002 NaN NaN NaN 3.17174 3.86622 3.3241 
NaN NaN NaN 1648500424.002 NaN NaN NaN 3.17177 4.41453 3.3175 
NaN NaN NaN 1648500476.002 33.442 365.88 87.835 NaN NaN NaN 
NaN NaN NaN 1648500485.002 NaN NaN NaN 3.17199 4.87876 3.3208 
0.000177576 0.9944 0.3796 1648500490.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648500546.002 NaN NaN NaN 3.17054 5.32251 3.3008 
NaN NaN NaN 1648500597.002 33.48 365.609 87.65 NaN NaN NaN 
