dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-077-0-27
the8x3_filename: 00550027
filename_extension: tbd
filename_label: sunfish-2022-077-0-27-tbd(00550027)
mission_name: regm20.mi
fileopen_time: Tue_Mar_29_08:07:50_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-077-0-27
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1648541328 33.503 366.003 87.59 NaN NaN NaN 
NaN NaN NaN 1648541332 NaN NaN NaN 3.16421 0.01098 3.2299 
0.000188448 0.9944 0.3869 1648541388 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648541393 NaN NaN NaN 3.16428 0.31168 3.23 
NaN NaN NaN 1648541449 33.504 365.675 87.554 NaN NaN NaN 
NaN NaN NaN 1648541454 NaN NaN NaN 3.16482 0.92078 3.2305 
NaN NaN NaN 1648541515 NaN NaN NaN 3.1652 1.50402 3.2319 
NaN NaN NaN 1648541570 33.498 365.707 87.583 NaN NaN NaN 
NaN NaN NaN 1648541576 NaN NaN NaN 3.16537 2.06622 3.2325 
NaN NaN NaN 1648541637 NaN NaN NaN 3.16539 2.62514 3.2297 
0.0001812 0.9944 0.3723 1648541689 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648541691 33.512 365.315 87.488 NaN NaN NaN 
NaN NaN NaN 1648541698 NaN NaN NaN 3.16563 3.1747 3.2276 
NaN NaN NaN 1648541759 NaN NaN NaN 3.16536 3.72742 3.2204 
NaN NaN NaN 1648541812 33.547 364.415 87.252 NaN NaN NaN 
NaN NaN NaN 1648541820 NaN NaN NaN 3.16554 4.33861 3.2191 
NaN NaN NaN 1648541881 NaN NaN NaN 3.16596 4.95862 3.2198 
NaN NaN NaN 1648541933 33.563 363.949 87.14 NaN NaN NaN 
NaN NaN NaN 1648541942 NaN NaN NaN 3.16618 5.56165 3.2178 
0.00017214 0.9944 0.3577 1648541990 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648542003 NaN NaN NaN 3.16638 6.16254 3.2177 
NaN NaN NaN 1648542054 33.591 363.229 86.957 NaN NaN NaN 
NaN NaN NaN 1648542064 NaN NaN NaN 3.16654 6.76419 3.215 
