dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-077-0-45
the8x3_filename: 00550045
filename_extension: tbd
filename_label: sunfish-2022-077-0-45-tbd(00550045)
mission_name: regm20.mi
fileopen_time: Sat_Apr__2_03:25:19_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-077-0-45
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1648869977.002 33.71 372.179 87.307 NaN NaN NaN 
NaN NaN NaN 1648869981.002 NaN NaN NaN 3.07022 0.00965 2.4897 
0.000213816 1.0848 0.438 1648870032.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648870042.002 NaN NaN NaN 3.07773 0.39288 2.546 
NaN NaN NaN 1648870098.002 33.705 370.512 87.172 NaN NaN NaN 
NaN NaN NaN 1648870103.002 NaN NaN NaN 3.0911 1.04723 2.6744 
NaN NaN NaN 1648870164.002 NaN NaN NaN 3.12694 1.48959 2.9693 
NaN NaN NaN 1648870219.003 33.634 365.142 86.961 NaN NaN NaN 
NaN NaN NaN 1648870225.003 NaN NaN NaN 3.14056 1.97157 3.1075 
NaN NaN NaN 1648870286.003 NaN NaN NaN 3.14629 2.5008 3.1503 
0.00019026 0.9944 0.4891 1648870333.003 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648870340.003 33.63 363.069 86.779 NaN NaN NaN 
NaN NaN NaN 1648870347.003 NaN NaN NaN 3.15192 3.06641 3.1929 
NaN NaN NaN 1648870408.003 NaN NaN NaN 3.18596 3.68953 3.5022 
NaN NaN NaN 1648870461.003 33.763 351.413 85.097 NaN NaN NaN 
NaN NaN NaN 1648870469.003 NaN NaN NaN 3.20908 4.33166 3.7096 
NaN NaN NaN 1648870530.003 NaN NaN NaN 3.21077 4.94362 3.7233 
NaN NaN NaN 1648870582.003 33.918 346.064 83.946 NaN NaN NaN 
NaN NaN NaN 1648870591.003 NaN NaN NaN 3.21102 5.52304 3.7178 
0.000168516 0.9944 0.1825 1648870634.003 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1648870652.003 NaN NaN NaN 3.22327 6.07284 3.8312 
NaN NaN NaN 1648870703.003 33.992 343.236 83.37 NaN NaN NaN 
