dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-077-0-55
the8x3_filename: 00550055
filename_extension: tbd
filename_label: sunfish-2022-077-0-55-tbd(00550055)
mission_name: regm20.mi
fileopen_time: Mon_Apr__4_12:22:19_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-077-0-55
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
0.000222876 0.9944 0.2701 1649074982.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1649074995.002 33.387 373.719 88.823 NaN NaN NaN 
NaN NaN NaN 1649074999.002 NaN NaN NaN 3.1217 0.00269 2.9641 
NaN NaN NaN 1649075060.002 NaN NaN NaN 3.11922 0.23052 2.9411 
NaN NaN NaN 1649075116.002 33.385 373.868 88.846 NaN NaN NaN 
NaN NaN NaN 1649075121.002 NaN NaN NaN 3.11928 0.84844 2.9363 
NaN NaN NaN 1649075182.002 NaN NaN NaN 3.11665 1.44237 2.9097 
NaN NaN NaN 1649075237.002 33.395 374.045 88.821 NaN NaN NaN 
NaN NaN NaN 1649075243.002 NaN NaN NaN 3.11602 2.00997 2.8958 
0.0002265 0.9944 0.7738 1649075283.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1649075304.002 NaN NaN NaN 3.14578 2.61865 3.1359 
NaN NaN NaN 1649075358.002 33.37 369.137 88.454 NaN NaN NaN 
NaN NaN NaN 1649075365.002 NaN NaN NaN 3.16765 3.16793 3.3246 
NaN NaN NaN 1649075426.002 NaN NaN NaN 3.1736 3.73524 3.3721 
NaN NaN NaN 1649075479.002 33.453 364.574 87.663 NaN NaN NaN 
NaN NaN NaN 1649075487.002 NaN NaN NaN 3.1779 4.31989 3.4043 
NaN NaN NaN 1649075548.002 NaN NaN NaN 3.18301 4.93424 3.4426 
0.000188448 0.9944 0.4599 1649075584.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1649075600.002 33.546 361.025 86.928 NaN NaN NaN 
NaN NaN NaN 1649075609.002 NaN NaN NaN 3.18314 5.54487 3.4296 
NaN NaN NaN 1649075670.002 NaN NaN NaN 3.18552 6.14541 3.4315 
NaN NaN NaN 1649075721.002 33.671 355.48 85.871 NaN NaN NaN 
