dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-077-0-59
the8x3_filename: 00550059
filename_extension: tbd
filename_label: sunfish-2022-077-0-59-tbd(00550059)
mission_name: regm20.mi
fileopen_time: Tue_Apr__5_11:54:13_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-077-0-59
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1649159706 33.224 368.388 89.004 NaN NaN NaN 
NaN NaN NaN 1649159710 NaN NaN NaN 3.18968 0.00927 3.5818 
0.000242808 1.0848 0.1679 1649159723 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1649159771 NaN NaN NaN 3.19002 0.31191 3.5826 
NaN NaN NaN 1649159827 33.213 368.329 89.046 NaN NaN NaN 
NaN NaN NaN 1649159832 NaN NaN NaN 3.19034 0.95612 3.5825 
NaN NaN NaN 1649159893 NaN NaN NaN 3.19064 1.57453 3.5822 
NaN NaN NaN 1649159948 33.221 368.116 88.988 NaN NaN NaN 
NaN NaN NaN 1649159954 NaN NaN NaN 3.19032 2.19286 3.5745 
NaN NaN NaN 1649160015 NaN NaN NaN 3.19093 2.8134 3.578 
0.000215628 0.9944 0.5329 1649160024 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1649160069 33.23 367.89 88.927 NaN NaN NaN 
NaN NaN NaN 1649160076 NaN NaN NaN 3.19064 3.42256 3.5741 
NaN NaN NaN 1649160137 NaN NaN NaN 3.19083 4.04384 3.5733 
NaN NaN NaN 1649160190 33.269 367.126 88.687 NaN NaN NaN 
NaN NaN NaN 1649160198 NaN NaN NaN 3.19015 4.68768 3.5498 
NaN NaN NaN 1649160259 NaN NaN NaN 3.19007 5.34818 3.5426 
NaN NaN NaN 1649160311 33.375 364.318 87.964 NaN NaN NaN 
NaN NaN NaN 1649160320 NaN NaN NaN 3.19049 5.98624 3.5381 
0.000177576 0.9944 0.2555 1649160325 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1649160381 NaN NaN NaN 3.19054 6.64811 3.5329 
NaN NaN NaN 1649160432 33.497 361.135 87.142 NaN NaN NaN 
NaN NaN NaN 1649160442 NaN NaN NaN 3.18689 7.3169 3.489 
