dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-077-0-78
the8x3_filename: 00550078
filename_extension: tbd
filename_label: sunfish-2022-077-0-78-tbd(00550078)
mission_name: regm20.mi
fileopen_time: Fri_Apr__8_21:49:01_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-077-0-78
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1649454595.002 33.214 370.699 89.273 NaN NaN NaN 
NaN NaN NaN 1649454599.002 NaN NaN NaN 3.17913 0.02712 3.4654 
NaN NaN NaN 1649454660.002 NaN NaN NaN 3.17999 0.22374 3.4715 
0.000257304 0.9944 0.6424 1649454676.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1649454716.002 33.218 370.189 89.203 NaN NaN NaN 
NaN NaN NaN 1649454721.002 NaN NaN NaN 3.18039 0.96147 3.4723 
NaN NaN NaN 1649454782.002 NaN NaN NaN 3.18129 1.65742 3.4794 
NaN NaN NaN 1649454837.002 33.22 369.851 89.161 NaN NaN NaN 
NaN NaN NaN 1649454843.002 NaN NaN NaN 3.18162 2.26536 3.4782 
NaN NaN NaN 1649454904.002 NaN NaN NaN 3.18174 2.88619 3.479 
NaN NaN NaN 1649454958.002 33.221 369.84 89.157 NaN NaN NaN 
NaN NaN NaN 1649454965.002 NaN NaN NaN 3.1823 3.51272 3.4801 
0.000224688 0.9944 0.5986 1649454977.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1649455026.002 NaN NaN NaN 3.18295 4.14102 3.4837 
NaN NaN NaN 1649455079.002 33.225 369.624 89.12 NaN NaN NaN 
NaN NaN NaN 1649455087.002 NaN NaN NaN 3.18288 4.79173 3.4802 
NaN NaN NaN 1649455148.002 NaN NaN NaN 3.18325 5.47083 3.482 
NaN NaN NaN 1649455200.002 33.232 369.367 89.064 NaN NaN NaN 
NaN NaN NaN 1649455209.002 NaN NaN NaN 3.18476 6.10712 3.4929 
NaN NaN NaN 1649455270.002 NaN NaN NaN 3.18515 6.71342 3.4978 
0.000221064 0.9944 0.5475 1649455278.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1649455321.002 33.256 368.428 88.869 NaN NaN NaN 
