dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-077-0-94
the8x3_filename: 00550094
filename_extension: tbd
filename_label: sunfish-2022-077-0-94-tbd(00550094)
mission_name: regm20.mi
fileopen_time: Wed_Apr_13_06:43:15_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-077-0-94
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1649832252.002 33.294 368.316 88.696 NaN NaN NaN 
NaN NaN NaN 1649832256.002 NaN NaN NaN 3.17794 0.01616 3.4656 
NaN NaN NaN 1649832317.002 NaN NaN NaN 3.17947 0.5324 3.4719 
0.000596148 1.0848 0.4891 1649832353.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1649832373.002 33.287 368.167 88.713 NaN NaN NaN 
NaN NaN NaN 1649832378.002 NaN NaN NaN 3.1806 1.46552 3.4727 
NaN NaN NaN 1649832439.002 NaN NaN NaN 3.18139 2.4924 3.474 
NaN NaN NaN 1649832494.002 33.287 368.022 88.699 NaN NaN NaN 
NaN NaN NaN 1649832500.002 NaN NaN NaN 3.18189 3.44231 3.4725 
NaN NaN NaN 1649832561.002 NaN NaN NaN 3.18229 4.31442 3.4731 
NaN NaN NaN 1649832615.002 33.292 367.752 88.651 NaN NaN NaN 
NaN NaN NaN 1649832622.002 NaN NaN NaN 3.18301 5.18174 3.4751 
0.000228312 0.9944 0.4964 1649832654.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1649832683.002 NaN NaN NaN 3.18335 5.97882 3.475 
NaN NaN NaN 1649832736.002 33.303 367.442 88.575 NaN NaN NaN 
NaN NaN NaN 1649832744.002 NaN NaN NaN 3.18364 6.72623 3.4754 
NaN NaN NaN 1649832805.002 NaN NaN NaN 3.18409 7.43952 3.4766 
NaN NaN NaN 1649832857.002 33.306 367.348 88.554 NaN NaN NaN 
NaN NaN NaN 1649832866.002 NaN NaN NaN 3.18433 8.09864 3.4776 
NaN NaN NaN 1649832927.002 NaN NaN NaN 3.1845 8.58185 3.4704 
0.00021744 0.9944 0.4453 1649832955.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1649832978.002 33.349 366.24 88.264 NaN NaN NaN 
