dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-110-0-105
the8x3_filename: 00560105
filename_extension: tbd
filename_label: sunfish-2022-110-0-105-tbd(00560105)
mission_name: regm20.mi
fileopen_time: Thu_May_19_14:16:14_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-110-0-105
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1652969833.002 32.156 453.931 101.81 NaN NaN NaN 
NaN NaN NaN 1652969837.002 NaN NaN NaN 2.83333 0.00748 0.8204 
NaN NaN NaN 1652969898.002 NaN NaN NaN 2.82625 0.52588 0.7147 
NaN NaN NaN 1652969954.002 32.368 446.882 100.134 NaN NaN NaN 
NaN NaN NaN 1652969959.002 NaN NaN NaN 2.87143 1.58591 0.8721 
NaN NaN NaN 1652970020.002 NaN NaN NaN 2.8795 2.32205 0.8396 
0.000491052 1.2656 2.2119 1652970032.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1652970075.002 33.058 421.572 94.624 NaN NaN NaN 
NaN NaN NaN 1652970081.002 NaN NaN NaN 2.89533 3.0678 1.0015 
NaN NaN NaN 1652970142.002 NaN NaN NaN 2.90486 3.81883 1.0987 
NaN NaN NaN 1652970196.002 32.986 415.416 94.428 NaN NaN NaN 
NaN NaN NaN 1652970203.002 NaN NaN NaN 2.93522 4.57125 1.3994 
NaN NaN NaN 1652970264.002 NaN NaN NaN 2.9285 5.33887 1.3148 
NaN NaN NaN 1652970317.002 33.307 419.745 93.304 NaN NaN NaN 
NaN NaN NaN 1652970325.002 NaN NaN NaN 2.82625 6.11801 0.1291 
0.000222876 1.1752 0.1241 1652970333.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1652970386.002 NaN NaN NaN 2.85373 6.85733 0.3852 
NaN NaN NaN 1652970438.002 34.639 376.854 83.851 NaN NaN NaN 
NaN NaN NaN 1652970447.002 NaN NaN NaN 2.87409 7.56093 0.5601 
NaN NaN NaN 1652970508.002 NaN NaN NaN 2.87971 8.26088 0.6111 
NaN NaN NaN 1652970559.002 34.898 365.206 81.8 NaN NaN NaN 
NaN NaN NaN 1652970569.002 NaN NaN NaN 2.90868 8.96426 0.8805 
