dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-110-0-115
the8x3_filename: 00560115
filename_extension: tbd
filename_label: sunfish-2022-110-0-115-tbd(00560115)
mission_name: regm20.mi
fileopen_time: Fri_May_20_04:56:01_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-110-0-115
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1653022617.002 31.661 474.251 106.127 NaN NaN NaN 
NaN NaN NaN 1653022621.002 NaN NaN NaN 2.80958 0.00838 0.7599 
0.000632388 1.356 2.2046 1653022654.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1653022682.002 NaN NaN NaN 2.81016 0.6611 0.7596 
NaN NaN NaN 1653022738.002 31.6 476.419 106.641 NaN NaN NaN 
NaN NaN NaN 1653022743.002 NaN NaN NaN 2.81043 1.59983 0.7603 
NaN NaN NaN 1653022804.002 NaN NaN NaN 2.78541 2.40121 0.4623 
NaN NaN NaN 1653022859.002 32.317 461.7 101.637 NaN NaN NaN 
NaN NaN NaN 1653022865.002 NaN NaN NaN 2.78942 3.16431 0.1536 
NaN NaN NaN 1653022926.002 NaN NaN NaN 2.72295 3.91672 -0.6269 
0.000219252 1.2656 0.3796 1653022955.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1653022980.002 34.265 408.477 88.043 NaN NaN NaN 
NaN NaN NaN 1653022987.002 NaN NaN NaN 2.75183 4.60672 -0.6283 
NaN NaN NaN 1653023048.002 NaN NaN NaN 2.91168 5.2958 1.1699 
NaN NaN NaN 1653023101.002 33.26 410.996 92.777 NaN NaN NaN 
NaN NaN NaN 1653023109.002 NaN NaN NaN 2.91302 5.94645 1.1443 
NaN NaN NaN 1653023170.002 NaN NaN NaN 2.9241 6.60993 1.275 
NaN NaN NaN 1653023222.002 33.08 411.292 93.63 NaN NaN NaN 
NaN NaN NaN 1653023231.002 NaN NaN NaN 2.93577 7.26865 1.3927 
0.000438504 1.1752 1.4746 1653023256.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1653023292.002 NaN NaN NaN 2.94692 7.93703 1.4928 
NaN NaN NaN 1653023343.002 32.956 412.598 94.318 NaN NaN NaN 
