dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-110-0-134
the8x3_filename: 00560134
filename_extension: tbd
filename_label: sunfish-2022-110-0-134-tbd(00560134)
mission_name: regm20.mi
fileopen_time: Sat_May_21_20:29:52_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-110-0-134
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1653165046.002 31.151 464.871 108.054 NaN NaN NaN 
NaN NaN NaN 1653165050.002 NaN NaN NaN 2.92423 0.02781 2.1277 
NaN NaN NaN 1653165111.002 NaN NaN NaN 2.81436 0.50298 0.81 
NaN NaN NaN 1653165167.002 31.501 479.041 107.403 NaN NaN NaN 
NaN NaN NaN 1653165172.002 NaN NaN NaN 2.8112 1.37002 0.7552 
NaN NaN NaN 1653165233.002 NaN NaN NaN 2.76294 2.16871 0.1058 
0.00048924 1.356 2.555 1653165252.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1653165288.002 32.477 460.101 100.686 NaN NaN NaN 
NaN NaN NaN 1653165294.002 NaN NaN NaN 2.73931 2.96926 -0.2053 
NaN NaN NaN 1653165355.002 NaN NaN NaN 2.71916 3.73967 -0.489 
NaN NaN NaN 1653165409.002 33.739 423.18 91.588 NaN NaN NaN 
NaN NaN NaN 1653165416.002 NaN NaN NaN 2.72281 4.50447 -0.4312 
NaN NaN NaN 1653165477.002 NaN NaN NaN 2.70664 5.24044 -0.7629 
NaN NaN NaN 1653165530.002 34.494 404.267 86.704 NaN NaN NaN 
NaN NaN NaN 1653165538.002 NaN NaN NaN 2.70796 5.98566 -0.8312 
0.00020838 1.356 0.2774 1653165553.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1653165599.002 NaN NaN NaN 2.72371 6.74552 -0.7167 
NaN NaN NaN 1653165651.002 34.979 388.948 83.423 NaN NaN NaN 
NaN NaN NaN 1653165660.002 NaN NaN NaN 2.71989 7.46068 -0.7972 
NaN NaN NaN 1653165721.002 NaN NaN NaN 2.72513 8.16475 -0.7659 
NaN NaN NaN 1653165772.002 35.126 381.315 82.21 NaN NaN NaN 
NaN NaN NaN 1653165782.002 NaN NaN NaN 2.74075 8.91312 -0.6469 
