dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-110-0-138
the8x3_filename: 00560138
filename_extension: tbd
filename_label: sunfish-2022-110-0-138-tbd(00560138)
mission_name: regm20.mi
fileopen_time: Sun_May_22_01:52:13_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-110-0-138
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
0.000485616 1.356 1.4162 1653184337.818 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1653184385.818 31.285 473.422 108.091 NaN NaN NaN 
NaN NaN NaN 1653184389.818 NaN NaN NaN 2.87199 0.02218 1.4921 
NaN NaN NaN 1653184450.818 NaN NaN NaN 2.8646 0.42328 1.4045 
NaN NaN NaN 1653184506.818 31.376 482.264 108.36 NaN NaN NaN 
NaN NaN NaN 1653184511.818 NaN NaN NaN 2.81392 1.21151 0.7795 
NaN NaN NaN 1653184572.818 NaN NaN NaN 2.79933 1.93936 0.6146 
NaN NaN NaN 1653184627.818 31.96 472.596 104.395 NaN NaN NaN 
NaN NaN NaN 1653184633.818 NaN NaN NaN 2.76527 2.65133 0.1372 
0.00051642 1.356 2.6426 1653184637.818 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1653184694.818 NaN NaN NaN 2.72536 3.31903 -0.3733 
NaN NaN NaN 1653184748.818 33.452 434.526 93.834 NaN NaN NaN 
NaN NaN NaN 1653184755.818 NaN NaN NaN 2.69716 3.99614 -0.7622 
NaN NaN NaN 1653184816.818 NaN NaN NaN 2.69306 4.68232 -0.8978 
NaN NaN NaN 1653184869.818 34.326 408.843 87.8 NaN NaN NaN 
NaN NaN NaN 1653184877.818 NaN NaN NaN 2.70994 5.35714 -0.7593 
0.000222876 1.2656 0.3577 1653184938.818 NaN NaN NaN 2.70359 6.01812 -0.901 
NaN NaN NaN 1653184990.818 34.933 392.507 83.897 NaN NaN NaN 
NaN NaN NaN 1653184999.818 NaN NaN NaN 2.71212 6.65753 -0.8739 
NaN NaN NaN 1653185060.818 NaN NaN NaN 2.72327 7.30748 -0.7922 
NaN NaN NaN 1653185111.818 35.138 382.702 82.27 NaN NaN NaN 
NaN NaN NaN 1653185121.818 NaN NaN NaN 2.74084 7.94533 -0.6574 
