dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-110-0-182
the8x3_filename: 00560182
filename_extension: sbd
filename_label: sunfish-2022-110-0-182-sbd(00560182)
mission_name: regm20.mi
fileopen_time: Fri_May_27_21:12:49_2022
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-110-0-182
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.174543 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653685975.164 0.0174543 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0943148 -0.0748254 NaN NaN NaN NaN NaN NaN 1653685999.183 NaN NaN NaN NaN NaN NaN NaN NaN 
0 NaN 0 4.14812 NaN NaN NaN NaN NaN NaN 14.6819 -0.0230482 NaN NaN 0.00578968 NaN NaN NaN NaN NaN NaN NaN NaN 1653686047.11 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 2.98905 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653686067.126 0.298905 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0951716 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653686099.151 NaN NaN 0.0698132 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN 16.1234 NaN NaN NaN NaN NaN NaN 4.6164 NaN NaN -0.336849 1653686163.337 1.61234 NaN NaN 0 NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653686193.343 NaN NaN 0.0506145 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 30.4796 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653686283.361 3.04796 NaN 0.0558505 NaN NaN NaN NaN NaN 
NaN -280 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -269.141 NaN NaN NaN NaN NaN NaN 5006.64749936481 -5152.78137658231 NaN 1653686343.373 NaN NaN NaN NaN 8.09009 -0.0943148 -0.0748254 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.118316 NaN NaN 44.3995 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653686403.384 4.43995 NaN 0.0558505 NaN NaN NaN NaN NaN 
-0.387113 NaN 0.0203837 4.14803 NaN NaN NaN NaN NaN NaN 14.7447 -0.351591 NaN NaN 0.0405278 NaN NaN NaN NaN NaN NaN NaN NaN 1653686463.396 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 58.0357 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653686523.408 5.80357 NaN 0.0575959 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4.15388 NaN NaN -0.315905 1653686583.419 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 71.0828 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653686643.431 7.10828 NaN 0.0523599 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.102099 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653686733.449 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 82.9954 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653686763.456 8.29953 NaN 0.0541052 NaN NaN NaN NaN NaN 
-0.387113 NaN 0.0699696 4.14827 NaN NaN NaN NaN NaN NaN 14.8176 -0.351591 94.4934 NaN 0.150532 NaN NaN NaN NaN NaN NaN NaN NaN 1653686883.479 9.44934 NaN 0.0541052 NaN NaN NaN NaN NaN 
NaN -280 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -269.367 NaN NaN NaN NaN NaN NaN 5006.57343581228 -5152.84444369729 NaN 1653686943.491 NaN NaN NaN NaN 8.15887 NaN NaN 0 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN 106.079 NaN NaN NaN NaN NaN NaN 3.89907 NaN NaN -0.303687 1653687003.502 10.6079 NaN 0.0593412 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0984387 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653687063.514 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 115.264 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653687093.52 11.5264 NaN 0.0541052 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 126.697 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653687213.543 12.6697 NaN 0.0593412 NaN NaN NaN NaN NaN 
-0.387113 NaN 0.0365277 4.14874 NaN NaN NaN NaN NaN NaN 14.856 -0.351591 NaN NaN 0.055002 NaN NaN NaN NaN NaN NaN NaN NaN 1653687303.561 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 137.736 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653687333.567 13.7737 NaN 0.0575959 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0955753 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653687393.579 NaN NaN NaN NaN NaN NaN NaN NaN 
