dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-110-0-195
the8x3_filename: 00560195
filename_extension: sbd
filename_label: sunfish-2022-110-0-195-sbd(00560195)
mission_name: regm20.mi
fileopen_time: Sun_May_29_19:14:08_2022
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-110-0-195
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0408985 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653851641.839 0.00408985 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0294156 -0.319674 NaN NaN NaN NaN NaN NaN 1653851679.182 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 2.44028 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653851739.124 0.244028 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN 0.0968924 NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.01244 NaN NaN -0.466003 1653851779.153 NaN NaN 0.0820305 0 NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 16.313 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653851843.35 1.6313 NaN NaN NaN NaN NaN NaN NaN 
-0.337905 NaN -0.00890113 NaN NaN NaN NaN NaN NaN NaN 14.6286 -0.351591 NaN NaN 0.0839504 NaN NaN NaN NaN NaN NaN NaN NaN 1653851873.356 NaN NaN 0.0767945 NaN NaN NaN NaN NaN 
NaN NaN NaN 3.83069 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653851933.367 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 28.877 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653851963.373 2.8877 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653851993.378 NaN NaN 0.0558505 NaN NaN -0.0294156 -0.319674 NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 38.1692 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653852053.39 3.81692 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.107009 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653852083.396 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653852113.402 NaN NaN 0.0523599 NaN NaN NaN NaN NaN 
NaN -255 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 50.9077 -245.888 NaN NaN NaN NaN NaN NaN 4931.7603606777 -5214.52682128393 NaN 1653852173.414 5.09077 NaN NaN NaN 8.22273 NaN NaN 0 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.90779 NaN NaN -0.336849 1653852203.418 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653852233.424 NaN NaN 0.0575959 NaN NaN NaN NaN NaN 
-0.202735 NaN 0.0554788 NaN NaN NaN NaN NaN NaN NaN 14.6649 -0.220498 65.9147 NaN 0.0202639 NaN NaN NaN NaN NaN NaN NaN NaN 1653852293.436 6.59147 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 3.83025 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653852353.447 NaN NaN 0.0593412 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.122636 NaN NaN 80.7036 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653852413.461 8.07036 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653852473.474 NaN NaN 0.0610865 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 95.6234 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653852533.486 9.56234 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653852563.492 NaN NaN 0.0593412 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.75071 NaN NaN -0.329867 1653852623.503 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 110.129 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653852653.509 11.0129 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653852683.515 NaN NaN 0.0558505 NaN NaN NaN NaN NaN 
-0.202735 NaN 0.0603787 NaN NaN NaN NaN NaN NaN NaN 14.7738 -0.220498 NaN NaN 0.0289484 NaN NaN NaN NaN NaN NaN NaN NaN 1653852713.521 NaN NaN NaN NaN NaN NaN NaN NaN 
