dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-110-0-208
the8x3_filename: 00560208
filename_extension: sbd
filename_label: sunfish-2022-110-0-208-sbd(00560208)
mission_name: regm20.mi
fileopen_time: Tue_May_31_11:14:06_2022
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-110-0-208
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.12864 0.13866 NaN NaN NaN NaN NaN NaN 1653995675.198 NaN NaN NaN NaN NaN -0.12864 0.13866 NaN 
NaN NaN NaN 3.64266 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653995684 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.520774 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653995696.044 0.0520774 NaN NaN NaN NaN NaN NaN NaN 
NaN -255 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -245.82 NaN NaN NaN NaN NaN NaN 4910.21360010943 -5231.05640000598 NaN 1653995760.153 NaN NaN NaN NaN 9.99088 NaN NaN 5 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN 0.10517 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.44339 NaN NaN -0.429351 1653995780.169 NaN NaN 0.0506145 0 NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 12.9321 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653995814.183 1.29321 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653995874.195 NaN NaN 0.0610865 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 28.9425 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653995934.207 2.89425 NaN NaN NaN NaN NaN NaN NaN 
-0.228218 NaN 0.164847 NaN NaN NaN NaN NaN NaN NaN 14.4724 -0.201076 NaN NaN 0.234482 NaN NaN NaN NaN NaN NaN NaN NaN 1653995964.213 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653995994.218 NaN NaN 0.0558505 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 44.9747 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653996054.228 4.49747 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 3.64429 NaN NaN NaN NaN NaN 0.135036 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653996084.234 NaN NaN 0.0575959 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 61.0723 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653996174.251 6.10723 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.59014 NaN NaN -0.34383 1653996204.258 NaN NaN 0.0471239 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 76.821 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653996294.274 7.6821 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653996324.281 NaN NaN 0.0558505 NaN NaN NaN NaN NaN 
-0.228218 -255 0.0832447 NaN NaN NaN NaN NaN NaN NaN 14.6982 -0.201076 NaN -246.568 0.0781607 NaN NaN NaN NaN NaN 4910.13718652401 -5230.99967014051 NaN 1653996384.292 NaN NaN NaN NaN 8.20242 NaN NaN 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.125845 NaN NaN 91.6099 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653996414.297 9.16098 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653996444.303 NaN NaN 0.0523599 NaN NaN NaN NaN NaN 
NaN NaN NaN 3.64509 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653996504.315 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 105.788 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653996534.321 10.5788 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653996564.327 NaN NaN 0.0593412 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.3807 NaN NaN -0.333358 1653996624.338 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 120.293 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653996654.344 12.0293 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653996684.35 NaN NaN 0.0593412 NaN NaN NaN NaN NaN 
