dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-110-0-255
the8x3_filename: 00560255
filename_extension: sbd
filename_label: sunfish-2022-110-0-255-sbd(00560255)
mission_name: regm20.mi
fileopen_time: Mon_Jun__6_09:55:30_2022
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-110-0-255
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0518229 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654509344.483 0.00518229 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0499872 0.0307807 NaN NaN NaN NaN NaN NaN 1654509360.849 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654509405.112 NaN NaN NaN 1 NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.19393 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654509441.141 0.319393 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN 0.0723611 NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.78213 NaN NaN -0.403171 1654509473.166 NaN NaN 0.0593412 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 16.4606 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654509537.187 1.64606 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654509567.193 NaN NaN 0.0523599 NaN NaN NaN NaN NaN 
-0.148405 NaN 0.0739528 4.0311 NaN NaN NaN NaN NaN NaN 14.6635 -0.162234 NaN NaN 0.0318433 NaN NaN NaN NaN NaN NaN NaN NaN 1654509627.205 NaN NaN NaN NaN NaN 0.0499872 0.0307807 NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 32.4766 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654509657.21 3.24766 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654509687.216 NaN NaN 0.0593412 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.12237 NaN NaN 46.8343 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654509777.234 4.68343 NaN 0.0523599 NaN NaN NaN NaN NaN 
NaN -230 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -223.27 NaN NaN NaN NaN NaN NaN 4806.48397480131 -5318.27553235588 NaN 1654509837.246 NaN NaN NaN NaN 8.13692 NaN NaN 0 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN 60.1882 NaN NaN NaN NaN NaN NaN 3.43306 NaN NaN -0.326377 1654509897.257 6.01882 NaN 0.0593412 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 73.7385 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654510017.281 7.37385 NaN 0.0558505 0 NaN NaN NaN NaN 
-0.148405 NaN 0.0576828 4.0349 NaN NaN NaN NaN NaN NaN 14.7513 -0.163852 NaN NaN 0.0607917 NaN NaN NaN NaN NaN NaN NaN NaN 1654510047.287 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.113406 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654510107.297 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 87.4416 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654510137.304 8.74416 NaN 0.0593412 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 97.8062 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654510227.32 9.78062 NaN 0.0628319 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4.25511 NaN NaN -0.324631 1654510301.306 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 108.324 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654510321.323 10.8323 NaN 0.0541052 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.104987 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654510409.43 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 118.404 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654510413.438 11.8404 NaN 0.0541052 NaN NaN NaN NaN NaN 
NaN -230 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -223.61 NaN NaN NaN NaN NaN NaN 4806.39819264793 -5318.30964807286 NaN 1654510437.509 NaN NaN NaN NaN 8.20373 NaN NaN 2 
-0.148405 NaN 0.154323 4.03595 NaN NaN NaN NaN NaN NaN 14.7284 -0.163852 NaN NaN 0.162111 NaN NaN NaN NaN NaN NaN NaN NaN 1654510449.516 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 128.071 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654510505.554 12.8071 NaN 0.0575959 NaN NaN NaN NaN NaN 
