dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-110-0-261
the8x3_filename: 00560261
filename_extension: sbd
filename_label: sunfish-2022-110-0-261-sbd(00560261)
mission_name: regm20.mi
fileopen_time: Tue_Jun__7_09:18:34_2022
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-110-0-261
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.422766 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654593516.782 0.0422766 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.017236 0.028084 NaN NaN NaN NaN NaN NaN 1654593548.806 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.62287 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654593609.122 0.162288 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 4.02571 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654593617.132 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN 0.0854473 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.673697 NaN NaN -0.446804 1654593649.16 NaN NaN 0.0628319 0 NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 17.9662 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654593713.18 1.79662 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654593743.185 NaN NaN 0.0523599 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN 4755.89 -5326.61 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654593773.191 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654593803.196 NaN NaN NaN NaN NaN -0.017236 0.028084 NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 34.9859 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654593833.202 3.49859 NaN 0.0628319 NaN NaN NaN NaN NaN 
-0.256646 NaN -0.309792 NaN NaN NaN NaN NaN NaN NaN 14.5873 -0.217261 NaN NaN 0.32431 NaN NaN NaN NaN NaN NaN NaN NaN 1654593893.213 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.133855 NaN NaN 50.8492 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654593953.225 5.08492 NaN 0.0610865 NaN NaN NaN NaN NaN 
NaN NaN NaN 0.949875 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654594043.243 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN -255 NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN 66.0578 -246.885 NaN NaN NaN NaN NaN 5.60949 4758.09042525311 -5325.01111921087 -0.338594 1654594073.249 6.60578 NaN 0.0645772 NaN 8.08944 NaN NaN 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 80.7864 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654594193.271 8.07864 NaN 0.0628319 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.124575 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654594283.29 NaN NaN NaN NaN NaN NaN NaN NaN 
-0.256646 NaN -0.312222 NaN NaN NaN NaN NaN NaN NaN 14.6064 -0.217261 95.5805 NaN 0.413004 NaN NaN NaN NaN NaN NaN NaN NaN 1654594313.295 9.55805 NaN 0.0645772 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 106.883 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654594405.281 10.6883 NaN 0.0488692 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654594437.304 NaN 10.9001 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 3.97286 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654594445.314 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5.72468 NaN NaN -0.324631 1654594473.387 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 117.772 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654594497.406 11.7772 NaN 0.0628319 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.109719 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654594585.519 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 128.311 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654594589.526 12.8311 NaN 0.0471239 NaN NaN NaN NaN NaN 
NaN -255 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -247.202 NaN NaN NaN NaN NaN NaN 4758.13063083065 -5325.14097005506 NaN 1654594673.629 NaN NaN NaN NaN 8.13267 NaN NaN 2 
