dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-110-0-33
the8x3_filename: 00560033
filename_extension: tbd
filename_label: sunfish-2022-110-0-33-tbd(00560033)
mission_name: regm20.mi
fileopen_time: Thu_Apr_28_15:54:15_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-110-0-33
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1651161316.002 32.852 380.859 91.833 NaN NaN NaN 
NaN NaN NaN 1651161320.002 NaN NaN NaN 3.16721 0.02349 3.4984 
0.000251868 0.9944 0.1095 1651161354.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1651161381.002 NaN NaN NaN 3.16099 0.42042 3.4258 
NaN NaN NaN 1651161437.002 32.863 380.852 91.787 NaN NaN NaN 
NaN NaN NaN 1651161442.002 NaN NaN NaN 3.18206 1.09782 3.572 
NaN NaN NaN 1651161503.002 NaN NaN NaN 3.20767 1.742 3.7865 
NaN NaN NaN 1651161558.002 32.822 376.854 91.573 NaN NaN NaN 
NaN NaN NaN 1651161564.002 NaN NaN NaN 3.20676 2.3515 3.7739 
NaN NaN NaN 1651161625.002 NaN NaN NaN 3.20663 2.93688 3.7699 
0.00028992 0.9944 0.9052 1651161655.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1651161679.002 32.863 375.683 91.278 NaN NaN NaN 
NaN NaN NaN 1651161686.002 NaN NaN NaN 3.20726 3.50577 3.7736 
NaN NaN NaN 1651161747.002 NaN NaN NaN 3.20448 4.07285 3.7381 
NaN NaN NaN 1651161800.002 32.969 373.712 90.62 NaN NaN NaN 
NaN NaN NaN 1651161808.002 NaN NaN NaN 3.2006 4.65219 3.6886 
NaN NaN NaN 1651161869.002 NaN NaN NaN 3.20054 5.23985 3.6861 
NaN NaN NaN 1651161921.002 33.116 369.5 89.572 NaN NaN NaN 
NaN NaN NaN 1651161930.002 NaN NaN NaN 3.20094 5.83733 3.6854 
0.00021744 0.9944 0.4307 1651161956.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1651161991.002 NaN NaN NaN 3.20107 6.435 3.6823 
NaN NaN NaN 1651162042.002 33.169 368.269 89.224 NaN NaN NaN 
