dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-110-0-4
the8x3_filename: 00560004
filename_extension: tbd
filename_label: sunfish-2022-110-0-4-tbd(00560004)
mission_name: regm20.mi
fileopen_time: Fri_Apr_22_20:26:43_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-110-0-4
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1650659256.631 33.03 371.736 90.165 NaN NaN NaN 
NaN NaN NaN 1650659260.631 NaN NaN NaN 3.20226 0.03631 3.7363 
NaN NaN NaN 1650659321.631 NaN NaN NaN 3.20256 0.35563 3.7376 
NaN NaN NaN 1650659377.631 33.027 371.387 90.14 NaN NaN NaN 
NaN NaN NaN 1650659382.631 NaN NaN NaN 3.20193 0.99792 3.7289 
0.000237372 0.9944 0.3431 1650659383.631 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1650659443.631 NaN NaN NaN 3.19189 1.6116 3.6155 
NaN NaN NaN 1650659498.631 33.083 371.65 89.924 NaN NaN NaN 
NaN NaN NaN 1650659504.631 NaN NaN NaN 3.19127 2.22771 3.6052 
NaN NaN NaN 1650659565.631 NaN NaN NaN 3.191 2.84021 3.5989 
NaN NaN NaN 1650659619.632 33.11 371.076 89.752 NaN NaN NaN 
NaN NaN NaN 1650659626.632 NaN NaN NaN 3.19125 3.45002 3.5971 
0.000231936 0.9944 0.5183 1650659684.632 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1650659687.632 NaN NaN NaN 3.19141 4.07661 3.5964 
NaN NaN NaN 1650659740.632 33.13 370.56 89.616 NaN NaN NaN 
NaN NaN NaN 1650659748.632 NaN NaN NaN 3.19153 4.69324 3.5944 
NaN NaN NaN 1650659809.632 NaN NaN NaN 3.19196 5.29727 3.5937 
NaN NaN NaN 1650659861.632 33.146 370.158 89.511 NaN NaN NaN 
NaN NaN NaN 1650659870.632 NaN NaN NaN 3.19198 5.90112 3.594 
NaN NaN NaN 1650659931.632 NaN NaN NaN 3.19231 6.50264 3.5945 
NaN NaN NaN 1650659982.632 33.149 370.044 89.486 NaN NaN NaN 
0.000230124 0.9944 0.5037 1650659985.632 NaN NaN NaN NaN NaN NaN 
